n,scientificName,source,database_id,species,family,subfamily,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,doiORurl,publicationYear,Notes,Auth,Title of paper,verbatimScientificName,.invalidName,taxonRank
1,"Xylocopa povolnyi Tkalců, 1969",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Lasioglossum muaranum (Blüthgen, 1926)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Hylaeus eardleyi Dathe, 2014",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Osiris longipes Friese, 1930",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile crassepunctata Yasumatsu and Hirashima, 1965",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Austronomia sancristobali Pauly, 2009",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Anthidiellum popovii (Wu, 1962)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Diadasia mendozana (Brèthes, 1910)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Bombus bahiensis Santos Júnior, Santos and Silveira, 2015",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Lasioglossum cribrum Ebmer, 2008",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Lasioglossum mackieae (Cockerell, 1929)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Xylocopa fabriciana Moure, 1960",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Liotrigona baleensis Pauly and Hora, 2013",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Neocorynura semimarginata (Cockerell, 1901)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Lasioglossum lubumbashicum (Cockerell, 1945)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Mesonychium violaceum (Friese, 1900)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Melissoptila mielkei Urban, 1998",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile lucidifrons Ferton, 1905",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile bridarollii Moure, 1947",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Nomada tarsalis Schwarz and Smit, 2018",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Lasioglossum stenorhynchus (Blüthgen, 1928)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Andrena khasania Osytshnjuk, 1995",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Eucera yunnanensis (Wu, 2000)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Trigonopedia ferruginea (Friese, 1899)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Xylocopa hedickei Ozdikmen, 2010",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Gaesischia similis Urban, 1989",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Andrena mangkamensis Wu, 1982",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Stenoheriades blommersi Pauly and Griswold, 2001",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Hoplitis denudata (Morawitz, 1880)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Habralictus macrospilophorus Moure, 1941",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Dufourea balearica Ebmer, 2015",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ceratina xanthocera (Moure, 1941)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Andrena korovini Osytshnjuk, 1986",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Odyneropsis melancholica Schrottky, 1914",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Panurginus kropotkini Romankova and Astafurova, 2011",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Lasioglossum argammon Gardner and Gibbs, 2020",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile edwardsiana Friese, 1925",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Palaeorhiza morpho Hirashima and Abe, 2011",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Coelioxys cochleariformis Friese, 1922",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Systropha popovi Ponomareva, 1967",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile luteohirta Pasteels, 1973",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Sphecodes nyassanus Strand, 1912",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Chilicola deborahae Gonzalez, 2009",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Nomada aprilina Swenk, 1913",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Hylaeus cervinus (Warncke, 1992)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Colletes imbricatus Ferrari, 2019",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile mixtula Cockerell, 1907",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Andrena prunella Warncke, 1974",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Oxaea rufa Friese, 1899",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Xylocopa sycophanta Pérez, 1901",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Braunsapis flavitarsis (Gerstäcker, 1870)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Xylocopa bilineata Friese, 1914",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Lasioglossum hintzi (Strand, 1911)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Colletes jovel Kuhlmann and Proshchalykin, 2016",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Habralictus xanthogastris (Vachal, 1911)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Steganomus tessmanni Pauly, 1990",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Lipotriches speculina (Cockerell, 1942)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile luteoalba Pasteels, 1973",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Xylocopa orthogonaspis Moure, 2003",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Lasioglossum cavillosum (Vachal, 1895)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Caenohalictus alexandrei Celis, Cure and Aguilar-Benavides, 2014",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Patellapis puangensis (Cockerell, 1937)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Sphecodes rufiscapis Vachal, 1909",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Andrena shakuensis Popov, 1949",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Paratetrapedia pulchra (Aguiar, 2009)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Andrena rufoclypeata Alfken, 1936",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Hoplitis glasunovi (Morawitz, 1893)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile implicator Cameron, 1897",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile nigropectoralis Wu, 2005",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Paratetrapedia alsinai Aguiar and Melo, 2011",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Habropoda schafelneri Schwarz and Gusenleitner, 2001",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Megachile taraxis Eardley, 2012",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"Megachile tenuistriga Alfken, 1938",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Patellapis kocki (Blüthgen, 1931)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Ceratina quadripunctata Wu, 2000",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Neocorynura sulfurea Engel, 1997",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Psaenythia modesta Holmberg, 1921",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Lasioglossum opacolampron Ebmer, 1997",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Liphanthus fritzi Mir Sharifi and Packer, 2019",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Biastes popovi Proshchalykin and Lelej, 2004",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Andrena tibetica Xu and Tadauchi, 2005",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Andrena revelstokensis Viereck, 1924",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Lasioglossum tilachiforme (Cockerell, 1907)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Lasioglossum talchius (Smith, 1853)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Andrena zostera Warncke, 1975",NA,BeeBDC_TempCode_224,Andrena zostera,Andrenidae,Andreninae,Andrena,NA,zostera,NA,"Warncke, 1975",https://doi.org/10.5852/ejt.2022.843.1947,2022,synonymised under zostera,NJ,NA,"Andrena subsmaragdina Osytshnjuk, 1984",TRUE,NA
11,"Odontocolletes xanthozoster (Maynard, 1997)",NA,BeeBDC_TempCode_272,Odontocolletes xanthozoster,NA,NA,Odontocolletes,NA,xanthozoster,NA,"(Maynard, 1997)",https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1440-6055.1997.tb01446.x,1997,NA,DEG,NA,"Leioproctus xanthozoster Maynard, 1997",TRUE,NA
4,"Osmia spinicoxa Müller, 2020",NA,BeeBDC_TempCode_59,Osmia spinicoxa,Megachilidae,Megachilinae,Osmia,NA,spinicoxa,NA,"Müller, 2020",https://treatment.plazi.org/id/9341B44A1016A14703E3FDBEFEF2FBC5,2020,NA,MCO,NA,Osmia spinicoxa,TRUE,NA
1,"Thrinchostoma brunneum Blüthgen, 1926",NA,BeeBDC_TempCode_93,Thrinchostoma brunneum,Halictidae,Halictinae,Thrinchostoma,NA,brunneum,NA,"Blüthgen, 1926",http://www.atlashymenoptera.net/biblio/01000/Michener%20&%20Engel%20Thrinchostoma%202010.pdf,2010,NA,MCO,NA,Thrinchostoma brunneum,TRUE,NA
4,"Osmia picena (Tkalců, 1999)",NA,BeeBDC_TempCode_97,Osmia picena,Megachilidae,Megachilinae,Osmia,NA,picena,NA,"(Tkalců, 1999)","https://blogs.ethz.ch/osmiini/2010/08/06/unknown-male-of-osmia-picena-discovered/, http://www.atlashymenoptera.net/biblio/01500/Ungricht_et_al_2008_Osmiini_Catalogue.pdf",2010,NA,MCO,NA,Osmia picena,TRUE,NA
29,"Corynura callaina González-Vaquero and Roig-Alsina, 2017",NA,BeeBDC_TempCode_100,Corynura callaina,Halictidae,Halictinae,Corynura,NA,callaina,NA,"González-Vaquero and Roig-Alsina, 2017",https://doi.org/10.3897/asp.75.e31917,2017,NA,MCO,NA,Corynura callaina,TRUE,NA
1,"Colletes pannonicus Hölzler and Mazzucco, 2011",NA,BeeBDC_TempCode_133,Colletes pannonicus,Colletidae,Colletinae,Colletes,NA,pannonicus,NA,"Hölzler and Mazzucco, 2011",https://www.researchgate.net/publication/282505141_Preliminary_description_of_Colletes_pannonicus_novsp_a_member_of_the_Colletes_succinctus_group_from_Eastern_Austria_Insecta_Hymenoptera_Colletidae,2011,NA,MCO,NA,Colletes pannonicus,TRUE,NA
1,"Anthophora lydia Tkalců, 1994",NA,BeeBDC_TempCode_138,Anthophora lydia,Apidae,Apinae,Anthophora,NA,lydia,NA,"Tkalců, 1994",https://www.zobodat.at/pdf/ENT_0015_0509-0512.pdf,1994,NA,MCO,NA,Anthophora lydia,TRUE,NA
40,"Haetosmia ethiopiensis Müller and Griswold, 2017",NA,BeeBDC_TempCode_139,Haetosmia ethiopiensis,Megachilidae,Megachilinae,Haetosmia,NA,ethiopiensis,NA,"Müller and Griswold, 2017",10.11646/zootaxa.4358.2.8,2017,NA,MCO,NA,Haetosmia ethiopiensis,TRUE,NA
10,"Andrena olympica Grünwaldt, 2005",NA,BeeBDC_TempCode_153,Andrena olympica,Andrenidae,Andreninae,Andrena,NA,olympica,NA,"Grünwaldt, 2005",http://www.atlashymenoptera.net/biblio/01500/Gruenwaldt_et_al_2005_Neue_Andrena_arten.pdf,2005,NA,MCO,NA,Andrena olympica,TRUE,NA
1,"Lasioglossum xitle Engel, Hinojosa-Díaz and Bennett, 2012",NA,BeeBDC_TempCode_165,Lasioglossum xitle,Halictidae,Halictinae,Lasioglossum,NA,xitle,NA,"Engel, Hinojosa-Díaz and Bennett, 2012",https://doi.org/10.3161/000345412X652837,2012,NA,NJ,NA,Lasioglossum xitle,TRUE,NA
1,"Lasioglossum mergense (Blüthgen, 1925)",NA,BeeBDC_TempCode_169,Lasioglossum mergense,Halictidae,Halictinae,Lasioglossum,NA,mergense,NA,"(Blüthgen, 1925)",https://www.zobodat.at/pdf/Archiv-Naturgeschichte_90A_10_0086-0136.pdf,1925,NA,NJ,NA,Lasioglossum mergense,TRUE,NA
9,"Augochlora intermedia Lepeco and Gonçalves, 2022",NA,BeeBDC_TempCode_198,Augochlora intermedia,Halictidae,Halictinae,Augochlora,NA,intermedia,NA,"Lepeco and Gonçalves, 2022",https://www.researchgate.net/publication/359033178_Bayesian_and_parsimony_phylogeny_of_Augochlora_bees_Hymenoptera_Apoidea_based_on_morphology_insights_for_their_biogeography_and_natural_history,2022,NA,NJ,NA,Augochlora intermedia,TRUE,NA
5,"Nomada accentifera Pérez, 1895",NA,BeeBDC_TempCode_238,Nomada accentifera,Apidae,Nomadinae,Nomada,NA,accentifera,NA,"Pérez, 1895",https://www.biodiversitylibrary.org/part/67719,1977,NA,NJ,NA,Nomada accentifera,TRUE,NA
1,"Holmbergeria cristariae Jörgensen, 1912",NA,BeeBDC_TempCode_241,Holmbergeria cristariae,Colletidae,Neopasiphaeinae,Holmbergeria,NA,cristariae,NA,"Jörgensen, 1912",https://www.biodiversitylibrary.org/item/38503#page/110/mode/1up,1912,NA,NJ,NA,Holmbergeria cristariae,TRUE,NA
22,"Lasioglossum subequestre (Blüthgen, 1931)",NA,BeeBDC_TempCode_243,Lasioglossum subequestre,Halictidae,Halictinae,Lasioglossum,NA,subequestre,NA,"(Blüthgen, 1931)",https://doi.org/10.3897/BDJ.5.e15050,2017,NA,NJ,NA,Lasioglossum subequestre,TRUE,NA
2,"Augochlorella procliva Gonçalves, 2019",NA,BeeBDC_TempCode_261,Augochlorella procliva,Halictidae,Halictinae,Augochlorella,NA,procliva,NA,"Gonçalves, 2019",https://doi.org/10.1016/j.rbe.2018.12.003�,2019,NA,DEG,NA,Augochlorella procliva,TRUE,NA
36,"Stenoheriades levantica Müller, 2014",NA,BeeBDC_TempCode_282,Stenoheriades levantica,Megachilidae,Megachilinae,Stenoheriades,NA,levantica,NA,"Müller, 2014",https://www.researchgate.net/profile/Vincent-Trunz/publication/260177908_Palaearctic_osmiine_bees_of_the_genera_Hofferia_and_Stenoheriades_Megachilidae_Osmiini_Biology_taxonomy_and_key_to_species/links/0a85e53cd1e00c6852000000/Palaearctic-osmiine-bees-of-the-genera-Hofferia-and-Stenoheriades-Megachilidae-Osmiini-Biology-taxonomy-and-key-to-species.pdf,2014,NA,DEG,NA,Stenoheriades levantica,TRUE,NA
17,"Neocorynura lamellata Gonçalves, 2019",NA,BeeBDC_TempCode_285,Neocorynura lamellata,Halictidae,Halictinae,Neocorynura,NA,lamellata,NA,"Gonçalves, 2019",https://www.mapress.com/zt/article/view/zootaxa.4542.1.1,2019,NA,DEG,NA,Neocorynura lamellata,TRUE,NA
6,"Nomioides socotranus Blüthgen, 1925",NA,BeeBDC_TempCode_292,Nomioides socotranus,Halictidae,Halictinae,Nomioides,NA,socotranus,NA,"Blüthgen, 1925",https://www.aemnp.eu/acta-entomologica/volume-57-s/1723/bees-of-the-socotra-archipelago-hymenoptera-anthophila-their-biogeography-and-association-with-parasites.html,2017,NA,AMG,Descriptions from 3 males and 3 females only,Nomioides socotranus,TRUE,NA
2,"Leioproctus_sensu_lato chalybaeus (Friese, 1909)",NA,BeeBDC_TempCode_294,Leioproctus_sensu_lato chalybaeus,NA,NA,Leioproctus,NA,chalybaeus,NA,"(Friese, 1909)",Die Bienen Afrikas nach dem Stande unserer heutigen Kenntnisse,1909,NA,AMG,Biodiversity Heritage Library,Leioproctus chalybaeus,TRUE,NA
1,"Augochlorodes clementis Gonçalves and Melo, 2008",NA,BeeBDC_TempCode_301,Augochlorodes clementis,Halictidae,Halictinae,Augochlorodes,NA,clementis,NA,"Gonçalves and Melo, 2008",https://doi.org/10.1080/00222930802105148,2008,NA,AMG,Others collected by Moure but doesn’t really indicate if they or all werent the same species.,Augochlorodes clementis,TRUE,NA
36,"Chelostoma comosum Müller, 2012",NA,BeeBDC_TempCode_319,Chelostoma comosum,Megachilidae,Megachilinae,Chelostoma,NA,comosum,NA,"Müller, 2012",https://www.researchgate.net/publication/259592436_New_European_bee_species_of_the_tribe_Osmiini_Hymenoptera_Apoidea_Megachilidae,2012,NA,AMG,NA,Chelostoma comosum,TRUE,NA
16,"Euglossa adiastola Hinojosa-Díaz, Nemésio and Engel, 2012",NA,BeeBDC_TempCode_320,Euglossa adiastola,Apidae,Apinae,Euglossa,NA,adiastola,NA,"Hinojosa-Díaz, Nemésio and Engel, 2012",https://www.researchgate.net/publication/232922343_Two_new_species_of_Euglossa_from_South_America_with_notes_on_their_taxonomic_affinities_Hymenoptera_Apidae,2012,NA,AMG,I think this is 16 based on the ecsription in the paper,Euglossa adiastola,TRUE,NA
