Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14577487,22.02822787,86.77723521,1220.128486,55447.81317,157174.3168,200433.303,245867.3864,294821.8628,307995.7741,325494.9704,375303.8253,438794.0305,526779.8212,622343.1499,736035.3906,877648.1371,1048226.181,1196018.799,1059830.395,1174425.863,1289852.017,1463913.587,1570159.837,1670845.418,1752116.293,1768173.499,1951137.285,2121246.004,2319831.653,2203409.243,2505138.994,3057554.499,3420763.579
American Samoa,ASM,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15609.77722,16653.71378,19673.3901,
Antigua and Barbuda,ATG,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,3263.40908,3694.912093,4579.547741,5510.795358,6197.676563,6888.595913,7630.412182,8765.337658,10225.2183,12414.23538,14552.07993,17359.72617,19311.39607,20409.13972,21397.83763,21927.03259,23197.89167,25161.61737,24317.08529,26270.0937,27842.11857,29382.68203,30558.91955,32396.10952,31086.92515,31408.38137,32782.32469,35098.23792,38663.68679,43508.0042,48962.51951,50514.22806,44282.7738,40904.25346,39889.88689,40869.47099,40438.09395,41719.03716,43160.96107,44412.4597,45370.44963,48961.32102,50571.01295,41107.11819,46382.06803,53783.26205,58212.58139
Australia,AUS,GDP per capita (current LCU),NY.GDP.PCAP.CN,1616.604601,1676.428503,1655.929994,1756.347032,1903.01782,2036.617492,2092.695906,2303.669803,2432.259139,2670.879883,2950.747581,3120.661668,3380.663277,3723.467862,4398.600889,5128.841863,5939.42849,6778.678129,7317.035799,8181.824445,9162.265178,10209.43145,11581.54237,12304.69643,13715.9405,14915.78074,16285.51006,17606.69076,19632.75951,21902.33666,23714.73569,24029.16772,24216.47915,25190.01057,26206.05086,27539.53067,29024.73321,30215.70222,31666.65807,33053.27844,34824.78823,36701.06219,38801.63384,40724.03582,43350.27599,45866.53889,48877.15328,52287.43829,55514.04549,58153.29058,59204.60245,63502.66231,66019.50033,66475.11349,68142.63063,68220.24442,68576.8417,71540.98625,73889.71424,76970.8069,77374.51016,81326.35754,89689.59844,96147.4471
Austria,AUT,GDP per capita (current LCU),NY.GDP.PCAP.CN,1782.946666,1966.594277,2073.364497,2224.251982,2419.444871,2619.79815,2834.097137,2991.717009,3197.572379,3479.106131,3890.044122,4323.380684,4912.109712,5536.108931,6290.420577,6690.010151,7402.912686,8180.244912,8659.231412,9514.643036,10219.54761,10862.48727,11666.00749,12450.13165,13073.90767,13791.16469,14515.66912,15061.67664,15773.29477,16796.39171,17915.00173,19015.65863,19869.29906,20356.11544,21289.32622,22219.74999,22935.10367,23685.08897,24614.74285,25505.79531,26662.26303,27420.67219,28054.49472,28549.48696,29656.05339,30879.95995,32390.38314,34232.82684,35301.57438,34523.89653,35379.92903,36956.84623,37799.92648,38197.75484,38981.06632,39833.53233,40931.8461,41984.55232,43580.47337,44724.18558,42715.51747,45249.0627,49460.85044,52258.95475
Azerbaijan,AZE,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040862972,0.073494423,0.652948707,4.189571436,49.32502254,277.6631945,352.0030916,402.9343285,434.8034879,472.9072062,586.2013269,655.3407634,741.8669962,867.9151334,1026.930717,1492.22162,2209.451297,3304.918835,4580.094484,3979.046953,4690.020202,5677.699164,5889.089075,6178.531329,6189.156902,5635.618018,6192.494793,7137.970819,8057.730907,8169.78132,7190.848103,9193.677098,13210.01018,12163.64213
Burundi,BDI,GDP per capita (current LCU),NY.GDP.PCAP.CN,3568.011212,3604.439107,3697.1004,3947.413465,4298.236231,4302.316706,4533.256007,4764.401695,4781.653247,4860.080323,6072.072031,6176.233295,6033.591352,6819.387084,7428.760186,8842.53095,10095.72452,12547.19374,13596.11924,17021.33471,19192.80918,19420.88425,19814.13089,21296.49259,24404.06025,28049.78311,27213.20918,27105.51791,28825.60927,32890.39185,35354.72619,37873.90783,39282.0228,41024.47755,41837.43901,42115.98415,44363.82926,57867.65458,66309.43741,73687.17416,99455.7875,112600.8372,115542.5515,123816.0093,141509.2347,163522.0739,171045.6387,184682.5942,230866.6146,251626.6971,274039.1416,298182.4889,343613.4159,375628.5607,398764.5253,454843.9156,449138.2309,491687.7122,471092.1991,468182.0791,483671.2922,526864.8278,618307.0921,688595.7367
Belgium,BEL,GDP per capita (current LCU),NY.GDP.PCAP.CN,1599.267808,1695.329995,1806.232993,1927.400574,2136.865656,2304.802419,2458.026908,2620.013853,2790.432988,3086.407213,3428.32189,3749.148727,4180.693566,4735.309678,5536.555483,6109.64574,6931.596306,7487.342373,8033.222203,8583.955618,9325.11546,9777.227405,10582.85708,11212.60197,12114.19183,12880.32977,13477.10307,14008.23131,14940.48202,16141.68031,17065.35088,17811.76574,18627.97748,19110.70353,20078.57535,20764.82436,21098.2336,22011.20786,22799.53128,23694.27656,25009.28179,25697.08853,26445.52267,27100.67421,28482.46789,29587.64501,30826.01391,32338.47182,32842.57579,32091.23555,33329.10226,34060.41022,34768.80024,35206.1718,35953.36343,36960.63116,37955.10396,39124.74007,40259.79049,41663.94232,39912.55788,43850.56526,47426.19556,49456.06683
Benin,BEN,GDP per capita (current LCU),NY.GDP.PCAP.CN,22076.34475,22655.86755,22338.25393,23583.96661,24617.41267,25968.33663,26687.61293,26490.08496,27845.57372,29036.36726,30500.24313,29874.72132,32763.49705,34833.19941,40441.33665,42934.22734,48228.07288,51959.50516,57630.78882,67607.28173,77440.19527,89009.72298,102752.9449,100059.306,106986.3785,106300.373,101661.4338,100145.7305,99880.99455,96239.99661,103952.0727,105872.4649,108911.7895,112872.2928,149789.0008,179105.9292,194690.863,207285.55,219979.6525,333403.3037,357233.1786,372312.4979,391517.2173,405005.4523,413495.8099,424919.9851,437339.2096,452138.0737,490130.2637,499319.1616,499489.6096,518097.4833,568029.4282,599740.1232,617939.6513,615837.1569,622129.4067,635978.5073,663446.4759,686081.6018,712546.2887,754772.1172,812897.3734,870345.3563
Burkina Faso,BFA,GDP per capita (current LCU),NY.GDP.PCAP.CN,16938.86106,17701.34526,18885.01439,19314.41505,19806.49304,20093.41026,20332.15469,20801.71417,21023.02688,22542.51154,22578.7454,23272.57367,25118.85405,25458.07344,30042.71967,32817.48209,37217.73192,43312.70715,50621.05255,55102.67161,58777.0113,67738.70116,78740.46459,80971.57427,82294.56626,87412.14716,85916.02565,84436.56029,89936.30883,93802.38832,92469.78616,94438.01124,92564.86884,92071.35079,104275.8465,114720.6105,124576.7895,131098.762,147732.151,180879.8898,177411.4268,190748.1989,198924.8449,210977.3258,213809.8782,233546.1554,238927.2193,247334.131,277363.0867,283999.638,310369.7925,342886.3789,374734.5056,376501.5504,378895.226,373720.6913,394548.7167,412954.1056,432805.4179,448356.4269,474025.2421,492868.8663,517747.976,530215.5267
Bangladesh,BGD,GDP per capita (current LCU),NY.GDP.PCAP.CN,407.1616185,445.7045421,456.2294651,463.4506081,455.3642769,484.6458041,512.9074729,560.6223386,561.3145671,617.3180454,639.0861371,614.3781731,544.0701934,884.4328325,1366.377751,2310.880057,1966.993659,1910.769213,2510.017107,2892.34475,3345.38051,3840.527304,4192.282665,4595.406704,5057.196221,6036.311366,6647.088574,7495.642165,8075.512943,8807.900084,9702.363655,10116.74758,10743.25505,11053.67813,11712.36066,12947.91307,15844.0409,16880.08084,18249.21918,19447.69376,20783.07032,22126.21927,23429.31323,25517.36404,27616.8859,30307.73191,33817.63439,38144.52682,43231.77706,48059.92305,53745.70917,60969.48756,69379.94189,77836.92073,86154.34782,96040.18881,129913.7411,143658.4618,161240.4864,178316.5701,189371.126,208447.2689,232011.2491,259654.7878
Bulgaria,BGR,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,2.910443845,3.128740742,3.253506016,3.335064182,3.534430817,3.637646229,3.842726378,4.071991768,4.269368206,4.458637472,5.206365607,15.71990626,23.51242904,35.27962199,62.24839645,151.7567014,261.5310901,2289.725854,3204.64137,3050.064892,3442.385301,3868.914798,4347.07313,4712.073331,5339.127184,6138.844743,7052.793164,8415.062122,9722.583373,9830.347952,10125.96803,11040.10545,11311.81151,11321.69594,11648.45102,12478.61498,13377.07914,14511.55117,15646.26293,17251.453,17377.00668,20207.12565,25956.14203,28574.31921
Bahrain,BHR,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,837.8388504,867.779477,963.4122263,1185.243457,1520.132517,1524.632276,2085.436483,2495.968294,2660.253673,2982.218832,3631.672281,3928.169949,3986.216267,3945.143082,3983.065661,3594.344882,2898.739245,3108.25487,3274.935809,3301.30235,3495.00044,3686.095085,3663.389182,3874.978693,4012.305185,4080.119556,4122.838345,4159.237592,3931.353311,4089.827244,4789.779068,4621.729063,4820.318472,5350.591579,5932.514329,6657.168422,7165.732388,7852.21406,8706.588865,7312.516904,7966.242188,8926.825606,9438.625107,9697.314597,9574.749797,8591.850189,8602.103626,9142.627094,9556.358331,9726.786455,8810.878401,10095.60128,11335.24381,10935.69948
"Bahamas, The",BHS,GDP per capita (current LCU),NY.GDP.PCAP.CN,1512.663755,1612.930059,1714.104746,1828.27072,1959.86598,2115.306284,2291.786444,2515.85049,2742.723141,3118.46942,3011.795968,3108.954374,3123.463773,3466.05498,3197.702347,2953.22492,3115.53839,3386.626388,3871.339807,5194.46237,5967.767886,6257.78659,6797.830965,7324.186554,8463.464999,9436.232744,9858.295721,10617.40527,10819.26804,11533.26076,11696.51137,11269.95052,11025.87836,10730.00097,11085.14713,11447.0179,11835.38679,20415.70617,21665.38786,23991.7008,24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.6554,26956.56684,28201.5568,29722.40684,29661.14108,30666.88387,31389.927,32173.95818,24499.16476,27871.37233,32041.25039,34749.63829
Bosnia and Herzegovina,BIH,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198395304,0.266547559,3.839437944,311.3449443,540.7287505,713.2292875,1072.852646,1573.04679,1760.401491,2071.509029,2828.09578,3022.259526,3330.400509,3520.282368,3861.619147,4310.957095,4942.53074,5625.887278,6471.415877,6395.079724,6655.567282,7007.8191,7136.646895,7402.437389,7661.212192,8208.365065,8694.405838,9244.906217,9982.494782,10648.00841,10465.11112,11967.60047,14107.79997,15244.50931
Belarus,BLR,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25E-05,8.83E-05,0.000900507,0.009620033,0.173981405,1.190945779,1.888259236,3.625722058,6.971441416,30.17994486,91.5246187,172.9678727,264.9452418,373.2340188,513.7826298,673.2995892,825.2746196,1016.272123,1362.206175,1494.976687,1797.435131,3247.269,5796.826578,7102.335212,8528.218455,9503.147422,10026.95108,11179.6303,12959.29508,14303.12753,15961.80876,19013.96225,20994.74527,23544.70295
Belize,BLZ,GDP per capita (current LCU),NY.GDP.PCAP.CN,438.7547455,456.5749757,473.1442592,487.6939572,508.0621389,546.5575459,587.6256223,616.6357002,653.1678641,668.6698548,735.2880361,788.8472756,845.2348585,1006.502463,1372.259369,1633.779558,1619.078302,1727.822122,1962.096838,2140.696502,2727.680437,2636.254129,2391.017945,2462.024901,2684.455382,2602.165284,2770.942461,3287.899855,3662.039278,4131.440619,5977.20964,6381.73673,7289.845645,7725.104058,7757.937963,8022.280063,8084.304964,8022.044475,8239.412344,8566.954138,9440.336436,9416.589875,9688.457149,9874.17981,10247.19243,10472.73085,10973.66287,11435.85924,11331.93246,10704.19197,10798.12419,11038.67802,11271.04305,11730.9418,12063.0968,12197.20016,12199.9142,12098.7839,12002.04852,12268.43047,10370.31614,12121.93645,13968.43392,15975.17191
Bermuda,BMU,GDP per capita (current LCU),NY.GDP.PCAP.CN,1630.630631,1681.318681,1731.759657,1731.656184,1885.480573,1956.087824,2254.901961,2592.307692,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,114274.622,123091.1235,
Bolivia,BOL,GDP per capita (current LCU),NY.GDP.PCAP.CN,0.001208087,0.001287273,0.001378573,0.001453724,0.001603932,0.001744619,0.001891027,0.00209044,0.002322037,0.002461828,0.002634716,0.002776292,0.003487836,0.005155186,0.008382124,0.009383795,0.01042397,0.012039895,0.013707654,0.016079125,0.019396355,0.02463968,0.059826008,0.205216117,3.094556603,370.5441233,1166.787591,1341.21243,1588.093151,1826.687526,2176.256163,2640.775175,2977.110981,3241.965003,3592.06401,4110.845134,4698.325512,5117.450952,5650.142695,5706.348865,6043.357502,6150.218383,6368.38379,6834.698585,7554.68808,8213.781642,9614.485527,10607.30822,12215.23488,12110.52693,13486.44494,15989.57575,17706.64548,19719.73839,20885.21853,20561.73329,20823.30371,22664.85676,23984.65803,23994.15154,21205.49476,23114.10894,24876.8405,25573.76031
Brazil,BRA,GDP per capita (current LCU),NY.GDP.PCAP.CN,1.58E-11,2.25E-11,3.49E-11,6.09E-11,1.16E-10,1.83E-10,2.63E-10,3.37E-10,4.57E-10,5.86E-10,7.33E-10,9.51E-10,1.25E-09,1.80E-09,2.55E-09,3.51E-09,5.34E-09,7.96E-09,1.13E-08,1.81E-08,3.72E-08,6.98E-08,1.38E-07,3.04E-07,9.45E-07,3.48E-06,9.12E-06,2.83E-05,0.000202236,0.002875578,0.076631059,0.393161587,4.111324901,88.97397341,2169.236272,4317.586379,5148.027125,5648.815174,5860.337745,6269.72029,6817.914984,7383.096236,8249.194378,9406.763336,10598.36271,11619.99723,12760.51912,14258.67878,16140.37313,17134.90311,19790.05802,22082.27329,24076.48369,26430.55868,28403.43528,29220.91453,30307.16808,31584.27982,33326.61454,34890.12459,35692.91239,42048.71375,46813.95627,50161.67444
Barbados,BRB,GDP per capita (current LCU),NY.GDP.PCAP.CN,589.897451,626.1852441,648.1273386,726.0068919,718.4271059,757.4367005,813.6442304,912.1682031,1048.195482,1175.367152,1377.069332,1522.422849,1686.640809,2088.35652,2604.044448,3288.036748,3517.001598,3979.612518,4430.179794,5343.314813,8029.182688,8799.139326,9157.337214,9691.818873,10529.42525,10992.16396,12048.61246,13253.22632,14090.1678,15593.66051,15633.45025,15666.80288,15041.58148,15900.68775,16533.44134,16999.42433,18090.28399,19090.20454,21491.26467,22474.16436,23120.49181,23020.08087,23317.25807,23996.35139,25656.8779,28347.50276,31190.33669,34451.06873,35141.56583,32629.33844,33014.86107,33848.13384,33473.84367,33904.26887,33960.05413,34080.83522,34797.97415,35821.56619,36671.90012,38312.07973,34056.82757,35172.66003,41476.90237,45345.23087
Brunei Darussalam,BRN,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,3241.832736,3609.332398,3618.186146,4010.133264,3855.107334,4111.201938,4347.857442,5306.979136,7143.192567,16953.74367,17352.63352,21301.4346,24781.89493,25061.30233,33509.57126,56159.76926,47524.71677,45484.22469,39146.98612,37583.49559,34901.56178,22346.67015,24403.05916,22035.65717,22939.62359,24361.65664,23697.47276,24565.99475,23300.65715,21384.89732,22434.19359,23556.80675,24638.02819,21177.44072,23840.75586,30982.87734,29451.30712,30112.74611,32267.6092,36913.33487,43259.69862,48887.8994,48735.57088,53041.07466,39997.07925,47190.65378,58038.98323,58534.96314,54988.80258,51993.97105,42184.24106,36967.65682,38923.1563,42140.90643,41947.42768,37499.43472,42261.26909,51231.63104,44900.39799
Bhutan,BTN,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,1551.020923,1609.988146,1669.157748,1852.180464,2208.217814,2064.335294,2176.896698,2272.582644,1981.210186,2129.714908,2436.36796,2811.310215,3024.252356,3470.232724,3876.990557,4168.342252,4831.042552,6120.916775,7163.004687,7894.926598,9019.548676,9626.176569,11404.81918,13229.99052,15586.03806,17856.1719,20001.56355,23388.94462,26916.00182,30110.00998,35262.01033,38806.93479,43922.20264,47853.76812,51267.47232,57201.72767,63451.06824,76178.25206,83102.47892,92369.3337,108460.3499,126824.6581,143735.0881,153805.584,170512.2696,185991.1311,208168.4748,223182.938,231825.063,251020.261,235735.8977,263238.697,291152.4806,
Botswana,BWA,GDP per capita (current LCU),NY.GDP.PCAP.CN,42.29787566,44.84203942,47.39554982,49.62580208,53.0874627,57.44559744,64.19010011,72.65911325,81.52337146,94.67614962,116.42161,150.2965377,202.840404,257.8182294,300.6930617,360.817661,422.0901224,471.2082759,575.6456956,747.8455512,878.5098308,914.2739688,1021.545265,1212.246056,1465.696844,1862.599938,2219.09786,2703.708165,3834.065927,4773.51804,5257.16488,5773.462535,6157.479262,6893.638076,7605.098354,8495.666719,10185.32154,11317.97001,12226.86008,14992.92368,17099.68529,18199.30417,19171.87056,20352.69235,22611.39227,26813.12569,29984.73052,32979.72528,36495.35032,35333.87931,41045.26191,48420.01418,48845.77965,54060.43911,61432.6105,59454.52498,69893.33987,69382.95786,70867.56828,71969.23613,67306.22867,80317.85481,95562.7835,98571.05073
Central African Republic,CAF,GDP per capita (current LCU),NY.GDP.PCAP.CN,16371.70024,17657.06043,17503.56889,17846.94907,19208.54465,19954.88789,20541.56676,20871.51794,24034.77016,24181.21274,25283.32706,26274.22694,26953.06427,27525.67875,30247.76973,35531.66375,46499.94608,53215.32697,58234.63668,62362.89197,69722.87585,77345.03259,99650.12281,100597.4206,110440.181,152187.0685,150426.667,137996.1875,141781.9651,144500.0916,139631.2358,134078.6846,124918.8178,117217.833,148243.1386,169909.9645,153271.0781,158258.04,160526.7866,168349.3291,173203.8028,177661.9027,175794.3339,164502.6042,163047.7741,167603.6641,177841.2669,185938.5602,199018.0499,213006.3489,227495.0124,242791.7706,268484.9871,173964.7112,194963.505,208035.4273,220529.5608,240821.7676,242137.0501,249837.5845,250650.0046,255714.8952,266381.6304,269940.6417
Canada,CAN,GDP per capita (current LCU),NY.GDP.PCAP.CN,2196.508566,2275.433156,2430.833983,2567.191328,2763.003862,2993.756309,3291.513785,3480.325039,3742.326112,4066.070347,4321.519884,4579.840244,5055.159036,5858.919907,6901.460889,7666.148244,8715.201847,9517.378371,10442.46201,11804.78663,13104.63064,14841.2273,15454.9467,16609.18195,18041.35759,19349.30561,20177.17972,21716.81722,23398.77276,24620.90376,25116.37478,25029.87079,25322.66451,26042.98923,27308.75498,28380.73079,29038.4218,30324.90393,31189.97195,33153.76198,36044.86515,36895.66261,38064.97098,39653.74248,41821.34918,44089.7192,45947.77968,47969.39611,49839.83962,46724.07898,48992.84836,51662.87843,52636.88556,54224.49285,56298.8453,55747.65398,56092.16167,58575.36207,60305.20638,61500.67939,58390.88952,65824.58034,72248.51573,72046.91554
Central Europe and the Baltics,CEB,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP per capita (current LCU),NY.GDP.PCAP.CN,8546.10584,9425.675109,10191.06117,10969.43292,11959.71275,12529.57268,13314.95782,14156.43388,14927.03702,15992.78775,17686.25164,19986.33373,22475.72208,24862.41204,26827.96667,26659.9476,27158.08209,27985.50494,29112.56152,30370.14472,32498.32563,34697.6203,36545.33758,37488.31467,39924.33045,42144.41225,44000.8307,45392.88974,47835.90662,51217.8219,54976.9507,56706.80537,57251.58828,57976.76653,58936.62354,59259.60648,59442.50712,60351.50036,61878.31464,62635.26746,65635.24905,66894.42387,66176.18978,66440.44864,67969.03496,70033.65082,73988.0325,78012.98205,80339.15131,77873.48071,79815.00092,80347.16454,80487.27982,80922.69375,81285.49337,80653.76034,80953.17913,80995.19951,83332.645,83598.27201,80644.41901,85395.63476,89047.58893,89844.45186
Channel Islands,CHI,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24894.07882,26731.39471,29289.91232,29648.59905,30210.5771,30274.83973,31242.89478,32202.86144,34602.09889,37559.14505,,,,,,,,,41037.90857,42660.48544,44545.31324,45879.31187,42399.18887,46899.79042,52329.88379,
