"name","name_long","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase"
"Congo","Republic of the Congo","Country",693.5,187.206,161.987,226.539,119,"Country",693.5,175.50960610589905,136.2383016578748,217.67790237758345,47.487063954537014,56.50960610589905,57.31596638655463,68.20600000000002
"Central African Rep.","Central African Republic","Country",352.5,123.1705,109.8805,144.5695,89,"Country",352.5,117.27722403540182,91.1181324814356,144.5273362622139,31.772161837530135,28.277224035401815,38.39382022471911,34.170500000000004
"Cabo Verde","Republic of Cabo Verde","Country",129,29.5435,24.792,47.6065,23,"Country",129,28.740469720496897,9.114875236266911,47.7010111856617,24.95856400216041,5.740469720496897,28.449999999999996,6.543500000000002
"Brunei","Brunei Darussalam","Country",166,86.4315,66.79499999999999,131.3265,49,"Country",166,81.83322985651213,41.05513679864596,123.28636376979335,67.00659154390232,32.83322985651213,76.39081632653063,37.4315
"Bosnia and Herz.","Bosnia and Herzegovina","Country",1230.5,389.1205,347.94849999999997,439.6865,244,"Country",1230.5,363.9102696924066,309.82027720538065,420.001687384123,49.14355315262564,119.9102696924066,59.47561475409835,145.1205
"Antigua and Barb.","Antigua and Barbuda","Country",15,3,3,3.503,3,"Country",15,3,2.613992177403474,3.386007822596526,0,0,0,0
NA,"Saint Martin","Country",20,5,5,5.918,5,"Country",20,5,4.089247519290794,5.910752480709206,0,0,0,0
NA,"Faroe Islands","Country",9,7.333,6.152,17.707,6,"Country",9,7.333333333333333,0.14232745360349375,16.341127704801547,22.22222222222221,1.333333333333333,22.21666666666666,1.3330000000000002
NA,"Martinique","Country",374,21.2955,17.886499999999998,33.705,17,"Country",374,20.986970131041435,9.854954122502273,31.205550403295447,23.452765476714333,3.986970131041435,25.26764705882354,4.2955000000000005
NA,"eSwatini","Country",127,41.018,29.110999999999997,78.98400000000001,24,"Country",127,39.02678157284419,3.7318641870116895,76.01306940444886,62.61158988685081,15.026781572844191,70.90833333333333,17.018
NA,"Gambia","Country",286,80.967,66.6455,121.4235,53,"Country",286,77.66318189640337,44.75717931015512,111.47768093273618,46.534305464912016,24.663181896403373,52.76792452830187,27.967
NA,"Lao People's Democratic Republic","Country",542.5,175.82600000000002,153.964,208.55,118,"Country",542.5,166.11326513213982,130.2731436500555,201.80323608418485,40.77395350181341,48.113265132139816,49.00508474576273,57.82600000000002
NA,"French Guiana","Country",1201.5,310.6565,280.15999999999997,356.9285,208,"Country",1201.5,293.75977424749163,249.514611375004,338.554814335883,41.230660695909435,85.75977424749163,49.35408653846154,102.6565
NA,"Macedonia","Country",89,120.438,57.27,335.5,31,"Country",89,102.438202247191,14.6427363621316,190.23366813225044,230.44581370061616,71.43820224719101,288.50967741935483,89.438
NA,"United States of America","Country",2256189,4232.2375,4149.981,4329.630999999999,3703,"Country",2256189,4140.720044212665,4047.969790394736,4233.583863004311,11.82068712429558,437.720044212665,14.292128004320826,529.2375000000002
"Zimbabwe","Zimbabwe","Country",3747.5,679.394,632.1279999999999,741.1355000000001,475,"Country",3747.5,651.7119053585541,588.4256385191841,712.587761635997,37.20250639127454,176.71190535855408,43.0303157894737,204.394
"Zambia","Zambia","Country",1016,344.145,313.69,384.6065,227,"Country",1016,323.8226996344366,276.6218630312145,372.82882327758944,42.65317164512625,96.82269963443662,51.60572687224669,117.14499999999998
"Yemen","Yemen","Country",290,138.3425,120.4265,166.56099999999998,91,"Country",290,131.0522198942811,99.43690624571728,162.5802464693983,44.01342845525396,40.05221989428111,52.02472527472528,47.3425
"Vietnam","Vietnam","Country",919,184.463,159.8915,223.468,118,"Country",919,172.74284551859532,133.40493948138968,211.75285722323375,46.39224196491129,54.74284551859532,56.32457627118646,66.46300000000002
"Venezuela","Venezuela","Country",5474,528.672,497.107,568.7775,383,"Country",5474,500.2598655376421,448.7654095141542,552.2571460713912,30.61615288189088,117.25986553764204,38.03446475195824,145.67200000000005
"Vanuatu","Vanuatu","Country",41.5,27.820500000000003,21.6215,46.475,18,"Country",41.5,25.98913043478261,5.3087567016121024,50.42486912619363,44.3840579710145,7.989130434782609,54.55833333333335,9.820500000000004
"Uzbekistan","Uzbekistan","Country",2359.5,894.4965,835.7515,964.066,565,"Country",2359.5,835.9761217915308,755.5682201541351,914.1532009007148,47.96037553832405,270.9761217915308,58.3179646017699,329.49649999999997
"Uruguay","Uruguay","Country",984.5,157.7335,125.1015,214.529,87,"Country",984.5,145.2888267985419,95.93400040028756,194.1712386631512,66.99865149257688,58.28882679854189,81.3028735632184,70.73349999999999
"Guam","Guam","Country",118,17.947499999999998,12.238,47.5065,11,"Country",118,16.941462021701884,5.884361366482609,26.87037817210217,54.013291106380755,5.941462021701884,63.159090909090885,6.947499999999998
"Puerto Rico","Puerto Rico","Country",2079.5,91.121,81.248,113.394,71,"Country",2079.5,88.99351172733252,62.93988746284747,114.8210054878691,25.342974263848618,17.993511727332518,28.339436619718317,20.12100000000001
"United States of America","United States","Country",2256189,4232.2375,4149.981,4329.630999999999,3703,"Country",2256189,4140.720044212665,4047.969790394736,4233.583863004311,11.82068712429558,437.720044212665,14.292128004320826,529.2375000000002
"Saint Helena","Saint Helena","Country",3,1,1,1.464,1,"Country",3,1,1,1,0,0,0,0
"Anguilla","Anguilla","Country",74,38.2115,28.9345,63.373000000000005,24,"Country",74,36.33108108108108,8.009084610090332,64.21810983065461,51.3795045045045,12.33108108108108,59.21458333333334,14.2115
"Bermuda","Bermuda","Country",58,8.969999999999999,7.1785,28.7585,7,"Country",58,8.966657404834677,4.633831502975804,13.50250731430365,28.09510578335253,1.9666574048346777,28.142857142857135,1.9699999999999989
"Montserrat","Montserrat","Country",51,27.2245,19.829,52.022499999999994,17,"Country",51,25.81241858445506,7.146146095058731,46.13590057635289,51.83775637914741,8.81241858445506,60.14411764705883,10.2245
"Jersey","Jersey","Country",1226.5,189.4475,163.874,242.662,120,"Country",1226.5,180.04830595676788,138.05143610657427,220.8687474192971,50.04025496397324,60.04830595676788,57.872916666666654,69.44749999999999
"Guernsey","Guernsey","Country",553,167.2125,145.751,202.034,112,"Country",553,158.45584286621016,123.00790185595883,193.51916945703425,41.47843113054479,46.45584286621016,49.29687499999999,55.212500000000006
"Isle of Man","Isle of Man","Country",3019,75.021,68.478,99.896,66,"Country",3019,74.16393487028782,59.2582608180324,89.49691041676542,12.369598288314876,8.163934870287818,13.668181818181813,9.021
"United Kingdom","United Kingdom","Country",567826,295.0195,274.606,351.4305,263,"Country",567826,291.53328307702736,254.47953830698071,331.5772989370389,10.849157063508509,28.533283077027363,12.174714828897336,32.019499999999994
"United Arab Emirates","United Arab Emirates","Country",1314.5,138.87599999999998,123.6435,171.00599999999997,106,"Country",1314.5,136.12637892065328,107.41142200807286,165.41692347855002,28.42111218929555,30.12637892065328,31.015094339622618,32.875999999999976
"Ukraine","Ukraine","Country",15691.5,1113.8745,1067.394,1168.266,827,"Country",15691.5,1058.0793838832888,990.802341975928,1123.8846421706494,27.941884387338423,231.07938388328876,34.68857315598548,286.8744999999999
"Uganda","Uganda","Country",1266.5,364.221,331.125,410.852,235,"Country",1266.5,341.55910247643044,293.3251155292246,391.3203407934088,45.3442989261406,106.55910247643044,54.9876595744681,129.221
"Turkmenistan","Turkmenistan","Country",1052.5,1089.9525,1022.2615,1170.9225,601,"Country",1052.5,1005.349303919633,907.3039549545769,1106.215517179433,67.2794182894564,404.34930391963303,81.35648918469217,488.9524999999999
"Turkey","Turkey","Country",33300,2667.476,2568.6365,2784.085,1824,"Country",33300,2522.798975770646,2404.8923615517583,2648.0808788545564,38.31134735584683,698.7989757706459,46.24320175438597,843.4760000000001
"Tunisia","Tunisia","Country",2794,1070.5365000000002,1008.533,1146.6325,686,"Country",2794,1002.5638642210606,920.4103552187144,1084.5928085709486,46.1463358922829,316.5638642210606,56.05488338192421,384.53650000000016
"Trinidad and Tobago","Trinidad and Tobago","Country",2202,181.795,157.86399999999998,219.6845,126,"Country",2202,171.61069477703796,134.31482900668158,208.8415522612855,36.19896410876029,45.61069477703796,44.28174603174604,55.795000000000016
"Togo","Togo","Country",96,143.705,109.102,213.422,75,"Country",96,143.70535714285717,89.11117642394694,192.8345167129206,91.60714285714288,68.70535714285717,91.60666666666668,68.70500000000001
"Timor-Leste","Timor-Leste","Country",151,23.7275,20.0055,42.001000000000005,19,"Country",151,23.13385012919897,10.597986660865615,36.30563070488662,21.75710594315248,4.133850129198969,24.88157894736842,4.727499999999999
"Thailand","Thailand","Country",12205,368.0415,341.685,409.0915,285,"Country",12205,355.251898208257,314.4188902161342,395.5196912719882,24.649788845002465,70.25189820825699,29.137368421052656,83.04150000000004
"Tanzania","Tanzania","Country",8506.5,653.4205,593.7935,737.015,416,"Country",8506.5,622.9244761401038,549.5397644543691,695.7034713970595,49.74146061060188,206.92447614010385,57.07223557692307,237.42049999999995
"Tajikistan","Tajikistan","Country",2837,921.629,857.0055,1003.2335,578,"Country",2837,865.0780847234544,786.9833721498521,944.645888502272,49.667488706479986,287.07808472345437,59.45138408304498,343.629
"Taiwan","Taiwan","Country",5824,253.589,224.1935,304.33349999999996,176,"Country",5824,243.62049239504043,200.5521829701526,286.8332255364452,38.42073431536388,67.62049239504043,44.084659090909085,77.589
"Syria","Syria","Country",3371,731.6535,684.278,791.3295,486,"Country",3371,686.2202329975024,620.217511060164,753.3975665080363,41.19757880607047,200.2202329975024,50.54598765432099,245.6535
"Switzerland","Switzerland","Country",420204,687.3115,672.3399999999999,712.556,650,"Country",420204,680.4199276595403,654.106013989497,707.9799542222815,4.679988870698515,30.41992765954035,5.740230769230781,37.311500000000024
"Sweden","Sweden","Country",354826,319.52750000000003,312.756,338.23400000000004,309,"Country",354826,318.73971612138666,297.9383315484663,339.5373156962502,3.152011689769152,9.739716121386664,3.4069579288025897,10.527500000000032
"eSwatini","Kingdom of eSwatini","Country",127,41.018,29.110999999999997,78.98400000000001,24,"Country",127,39.02678157284419,3.7318641870116895,76.01306940444886,62.61158988685081,15.026781572844191,70.90833333333333,17.018
"Suriname","Suriname","Country",809.5,212.482,191.9735,240.4025,148,"Country",809.5,199.97956983165665,163.6408837421317,236.5661187046032,35.12133096733556,51.97956983165665,43.56891891891892,64.482
"Sudan","Sudan","Country",267,290.14700000000005,253.6055,343.0275,154,"Country",267,268.8544188364863,211.60537097309475,325.0587690728933,74.58079145226381,114.85441883648627,88.40714285714289,136.14700000000005
"Sri Lanka","Sri Lanka","Country",4786.5,206.7395,182.89049999999995,247.156,142,"Country",4786.5,197.11325984962735,155.77588701887964,237.67197561033777,38.812154823681254,55.11325984962738,45.591197183098586,64.73949999999999
"Spain","Spain","Country",34502.5,1526.566,1465.949,1598.786,1167,"Country",34502.5,1463.1470986575996,1386.3350424806408,1538.823830608755,25.376786517360728,296.1470986575996,30.81113967437876,359.56600000000003
"South Africa","South Africa","Country",53779,1561.08,1502.4385000000002,1635.036,1240,"Country",53779,1505.1797521105657,1434.0033783132303,1577.5406850591608,21.385463879884313,265.17975211056546,25.893548387096764,321.0799999999999
"Somalia","Somalia","Country",115,134.464,103.68,199.8225,75,"Country",115,134.4640186915888,89.34671718296347,176.88822799752688,79.28535825545173,59.46401869158879,79.28533333333334,59.464
"Slovakia","Slovakia","Country",9804,993.6405,922.685,1081.9625,641,"Country",9804,938.060708365844,852.1315258629262,1022.2577457614047,46.34332423804119,297.060708365844,55.01411856474259,352.6405
"Slovenia","Slovenia","Country",7552,939.925,874.028,1021.3075,594,"Country",7552,880.0412648861786,796.7071308114085,964.7262426235036,48.15509509868328,286.0412648861786,58.23653198653198,345.92499999999995
"Singapore","Singapore","Country",4842,152.45499999999998,137.014,180.8105,119,"Country",4842,147.07599612681577,119.46340750875056,174.76757141484129,23.593274056147703,28.075996126815767,28.113445378151237,33.454999999999984
"Sierra Leone","Sierra Leone","Country",168.5,151.3485,130.53199999999998,182.5105,87,"Country",168.5,139.76794108851675,100.2518957024951,180.5890514935258,60.65280584886983,52.76794108851675,73.96379310344827,64.3485
"Seychelles","Seychelles","Country",147,54.356,44.98,83.8015,38,"Country",147,53.90530342384888,27.064919463816803,82.82486549291501,41.85606164170756,15.905303423848878,43.04210526315791,16.356
"Serbia","Serbia","Country",13562,913.704,851.864,993.382,594,"Country",13562,859.8033753887678,779.9720704410938,941.7392355343976,44.74804299474204,265.8033753887678,53.822222222222216,319.70399999999995
"Senegal","Senegal","Country",462,233.841,205.7065,278.7495,143,"Country",462,220.02475061483895,176.21035942416646,265.3228452901748,53.86346196841887,77.02475061483898,63.52517482517484,90.841
"Saudi Arabia","Saudi Arabia","Country",1023.5,167.9935,151.29899999999998,198.0875,122,"Country",1023.5,160.30633840362668,129.5611060815652,191.9171882851238,31.398638035759575,38.30633840362668,37.699590163934424,45.99350000000001
"São Tomé and Principe","São Tomé and Principe","Country",29,9.423,NA,NA,7,"Country",29,9.049059929494712,3.564337213876516,14.52452316943014,29.272284707067307,2.049059929494712,34.61428571428571,2.423
"Samoa","Samoa","Country",34,34.1275,24.456000000000003,61.834,19,"Country",34,32.90344827586207,1.1662458038765084,67.90615605283881,73.17604355716878,13.903448275862068,79.61842105263158,15.127499999999998
"Saint Lucia","Saint Lucia","Country",85,62.3365,44.697,103.6955,32,"Country",85,57.302285327924274,16.578108685644953,102.59891922102628,79.06964164976335,25.30228532792427,94.8015625,30.3365
"Rwanda","Rwanda","Country",191.5,79.44200000000001,65.3265,109.4245,51,"Country",191.5,75.47729338996945,44.31074584545475,108.11115669658962,47.99469292150871,24.477293389969446,55.76862745098041,28.442000000000007
"Romania","Romania","Country",8293,1093.645,1032.7735,1169.963,728,"Country",8293,1029.9101778775366,948.0149540701552,1113.5333837493515,41.47117827988141,301.9101778775366,50.225961538461526,365.645
"Qatar","Qatar","Country",22,10.652,8.644,28.398,8,"Country",22,10.152173913043478,2.394923258952085,19.1729723404662,26.90217391304348,2.1521739130434785,33.14999999999999,2.6519999999999992
"Portugal","Portugal","Country",18037.5,1104.4,1051.5075000000002,1172.046,763,"Country",18037.5,1040.439727695601,961.2502382636268,1116.6979416074762,36.36169432445624,277.43972769560105,44.74442988204457,341.4000000000001
"Poland","Poland","Country",161577.5,666.0095,633.9449999999999,708.129,517,"Country",161577.5,637.1348856125834,588.0493395579895,686.9900679271614,23.23692178193102,120.1348856125834,28.82195357833657,149.0095
"Philippines","Philippines","Country",2452,447.988,390.3355,528.0519999999999,247,"Country",2452,415.2972742183158,345.94154821736765,486.87110195119817,68.13654826652463,168.2972742183158,81.37165991902835,200.988
"Peru","Peru","Country",20118,1288.485,1209.7335,1384.2875,859,"Country",20118,1218.171016313082,1123.4127715494558,1310.7108477727515,41.812691072535735,359.17101631308196,49.99825378346914,429.4849999999999
"Paraguay","Paraguay","Country",6890.5,771.966,721.6904999999999,835.7215,533,"Country",6890.5,730.5126259313923,665.5225497060662,790.7607313977234,37.05677784829125,197.5126259313923,44.83414634146341,238.966
"Papua New Guinea","Papua New Guinea","Country",1971,388.3075,349.7735,444.0125,254,"Country",1971,368.5425214912124,316.54233054896395,420.3438528129492,45.09548090205211,114.54252149121236,52.876968503937015,134.3075
"Panama","Panama","Country",9316.5,667.0450000000001,623.4555,722.5605,480,"Country",9316.5,634.2751027307555,574.5894569031229,694.4795959020186,32.140646402240726,154.27510273075552,38.96770833333334,187.04500000000007
"Palau","Palau","Country",29,17.7165,12.464,36.126,11,"Country",29,16.863636363636363,3.2352234110145757,30.18995417259868,53.30578512396693,5.863636363636363,61.05909090909092,6.7165
"Pakistan","Pakistan","Country",3974,490.39,457.012,532.0005,354,"Country",3974,465.23307617845273,415.8132041333814,514.2226345342602,31.421772931766313,111.23307617845272,38.52824858757062,136.39
"Oman","Oman","Country",406.5,150.3855,136.137,171.781,111,"Country",406.5,144.39140771945264,115.7208925280583,174.63129182614716,30.08234929680418,33.391407719452644,35.48243243243243,39.38550000000001
"Norway","Norway","Country",137134,291.5,266.6795,352.033,251,"Country",137134,289.4238271163823,250.3160012708359,329.8169585406659,15.308297655929204,38.42382711638231,16.135458167330686,40.5
"Nigeria","Nigeria","Country",1296,261.875,238.9255,294.0415,185,"Country",1296,248.989843024032,210.10598012447372,286.3269783673332,34.589104337314595,63.989843024031984,41.554054054054056,76.875
"Niger","Niger","Country",91,101.72,77.458,158.755,59,"Country",91,101.72,62.77013783076232,140.86300474370233,72.40677966101694,42.72,72.40677966101694,42.72
"Nicaragua","Nicaragua","Country",3718,234.939,216.959,260.51800000000003,180,"Country",3718,224.0117752791887,192.51947297335175,254.9481556721369,24.450986266215935,44.0117752791887,30.52166666666667,54.93899999999999
"New Zealand","New Zealand","Country",13426.5,48.562,46.467,57.064,46,"Country",13426.5,48.24983220225222,39.70506057748321,56.69857518430944,4.890939570113528,2.2498322022522217,5.569565217391292,2.5619999999999976
"Netherlands","Netherlands","Country",492385.5,425.4875,410.023,451.5925,386,"Country",492385.5,418.1739113061397,391.224265284662,445.2018896471104,8.335210182937725,32.173911306139644,10.229922279792758,39.48750000000001
"Aruba","Aruba","Country",24,2,2,3.595,2,"Country",24,2,1.0544777979157396,2.9455222020842604,0,0,0,0
"Nepal","Nepal","Country",2262,281.38599999999997,253.456,320.39250000000004,190,"Country",2262,264.46072797452706,221.39108931292407,306.984517809449,39.189856828698446,74.46072797452706,48.09789473684209,91.38599999999995
"Namibia","Namibia","Country",8384.5,591.5219999999999,548.346,651.9014999999999,419,"Country",8384.5,563.7536141800771,506.3739102240113,617.9491120595981,34.547401952285696,144.75361418007708,41.17470167064437,172.5219999999999
"Mozambique","Mozambique","Country",877,349.4015,315.38599999999997,395.189,219,"Country",877,327.3873870096095,276.16688974807147,380.7095688561884,49.491957538634466,108.38738700960948,59.54406392694065,130.4015
"Morocco","Morocco","Country",12839.5,1450.6505,1381.8545,1534.908,987,"Country",12839.5,1368.1051636453371,1276.3475360686284,1458.074454848292,38.612478586153706,381.10516364533714,46.97573454913879,463.6505
"Montenegro","Montenegro","Country",983.5,338.48900000000003,297.96349999999995,396.756,205,"Country",983.5,318.83783677368865,263.6879535126333,371.7413115919968,55.53065208472616,113.83783677368864,65.11658536585368,133.48900000000003
"Mongolia","Mongolia","Country",1637.5,540.3734999999999,500.826,591.127,364,"Country",1637.5,510.1441823678206,454.14978589369593,565.4760042065466,40.14950065050016,146.14418236782058,48.45425824175822,176.37349999999992
"Moldova","Moldova","Country",243,197.2035,172.298,234.9025,114,"Country",243,182.82093972204265,140.62443597602146,224.4554244429393,60.369245370212845,68.82093972204265,72.98552631578947,83.20349999999999
"Monaco","Monaco","Country",12,12.5,6.894,44.153,6,"Country",12,11.571428571428571,3.2780263874043114,20.625824304278563,92.85714285714286,5.571428571428571,108.33333333333334,6.5
"Mexico","Mexico","Country",286547.5,2738.7169999999996,2671.548,2816.3824999999997,2265,"Country",286547.5,2656.262814679787,2570.8840761133365,2741.2430111150943,17.274296453853722,391.26281467978697,20.91465783664457,473.7169999999997
"Mauritius","Mauritius","Country",57.5,28.003,21.096,58.5155,18,"Country",57.5,26.853571428571428,6.289087986083233,50.649646216993176,49.18650793650794,8.853571428571428,55.57222222222222,10.003
"Malta","Malta","Country",538,139.603,124.256,165.97050000000002,99,"Country",538,132.95047715100253,102.36102167663265,162.80778049972025,34.293411263638916,33.95047715100253,41.01313131313131,40.60300000000001
"Mali","Mali","Country",80,106.841,82.099,160.595,61,"Country",80,106.8407894736842,64.77213799877342,152.38408448079903,75.148835202761,45.84078947368421,75.14918032786883,45.840999999999994
"Malaysia","Malaysia","Country",6779.5,435.892,399.157,487.2025,294,"Country",6779.5,410.25359211657286,358.97113648318407,461.6721673112138,39.54203813488873,116.25359211657286,48.2625850340136,141.892
"Malawi","Malawi","Country",2264,381.6035,345.1195,431.3605,250,"Country",2264,360.2972602802023,309.86261150782593,411.25067032472,44.118904112080926,110.2972602802023,52.64139999999999,131.6035
"Madagascar","Madagascar","Country",5464.5,300.6455,279.303,330.7395,226,"Country",5464.5,286.25131672981036,250.77090413139973,322.31280023547407,26.65987465920811,60.251316729810355,33.028982300884955,74.64550000000003
"Luxembourg","Luxembourg","Country",12510,411.3545,392.331,439.317,353,"Country",12510,401.3431920401716,369.7155623551946,431.6702736372392,13.694955252173258,48.34319204017163,16.531019830028338,58.35450000000003
"Lithuania","Lithuania","Country",4871.5,511.2305,466.632,566.744,334,"Country",4871.5,478.1683278941939,418.67600831047895,538.0283279541402,43.16417002820177,144.1683278941939,53.06302395209581,177.2305
"Liechtenstein","Liechtenstein","Country",3518.5,549.7175,515.054,593.3399999999999,406,"Country",3518.5,524.047266517259,473.5476653435916,573.9257251228246,29.075681408191876,118.047266517259,35.39839901477833,143.71749999999997
"Libya","Libya","Country",616,463.5455,427.956,509.436,287,"Country",616,432.2149434865913,376.5614712831889,488.468621892396,50.597541284526606,145.21494348659132,61.51411149825785,176.5455
"Liberia","Liberia","Country",245.5,208.393,173.7115,255.2795,110,"Country",245.5,190.89548545966227,141.69136276018938,241.3104735556609,73.5413504178748,80.89548545966227,89.44818181818181,98.393
"Lesotho","Lesotho","Country",1457.5,141.991,129.6775,164.3555,114,"Country",1457.5,138.98202708625345,113.12990843059808,164.98227424776076,21.914058847590745,24.982027086253453,24.55350877192981,27.990999999999985
"Lebanon","Lebanon","Country",5595.5,850.6800000000001,796.8715,917.4375,570,"Country",5595.5,801.0271807880265,730.199458848965,870.1787110434011,40.53108434877657,231.0271807880265,49.24210526315791,280.68000000000006
"Latvia","Latvia","Country",2147.5,456.2005,416.809,507.7595,297,"Country",2147.5,428.01173310364106,373.0182238219445,485.1704680511768,44.111694647690605,131.01173310364106,53.60286195286197,159.20050000000003
"Kyrgyzstan","Kyrgyzstan","Country",6873.5,649.1315,597.3955000000001,715.37,430,"Country",6873.5,614.6903489690758,548.5613627199061,680.8944862961353,42.9512439462967,184.6903489690758,50.96081395348837,219.13149999999996
"Kuwait","Kuwait","Country",443,9.3745,NA,NA,9,"Country",443,9.249431914358846,7.599901187123635,11.495307435395926,2.771465715098298,0.24943191435884593,4.1611111111111265,0.3745000000000012
"Kenya","Kenya","Country",6670,575.5889999999999,532.898,627.386,402,"Country",6670,545.8709367668577,488.8138701860624,601.7154715379056,35.788790240511844,143.87093676685765,43.18134328358207,173.58899999999994
"Kazakhstan","Kazakhstan","Country",4889,1308.0445,1226.888,1405.24,826,"Country",4889,1228.8084677303518,1132.6337809752254,1329.2100289544974,48.76615832086584,402.8084677303518,58.358898305084736,482.0445
"Jordan","Jordan","Country",800.5,728.8345,674.6085,797.51,411,"Country",800.5,675.6680169980481,599.21282413789,751.8688488647192,64.39611119173918,264.6680169980481,77.33199513381996,317.83450000000005
"Japan","Japan","Country",28731,503.278,476.3275,541.9815000000001,414,"Country",28731,487.122509241112,446.81008069113864,525.6230491712739,17.662441845679243,73.12250924111203,21.564734299516907,89.27800000000002
"Jamaica","Jamaica","Country",554.5,86.1385,68.7245,121.829,53,"Country",554.5,81.42987448170375,42.11733771715974,124.10665268011763,53.64127260698821,28.42987448170375,62.5254716981132,33.13849999999999
"Italy","Italy","Country",26423,1305.4375,1264.6185,1353.7355,1045,"Country",26423,1254.4491108165207,1191.218538510651,1319.3223887967902,20.04297711162877,209.44911081652072,24.922248803827745,260.4375
"Israel","Israel","Country",17818,1617.0100000000002,1531.416,1716.0895,1064,"Country",17818,1521.9159121871085,1423.8476236010597,1623.9191596389182,43.03720979202148,457.91591218710846,51.97462406015039,553.0100000000002
"Palestine","Palestine","Country",1540,550.5495000000001,507.7595,608.019,357,"Country",1540,517.461448079286,454.00496716648746,581.5793405699357,44.94718433593445,160.461448079286,54.21554621848741,193.54950000000008
"Ireland","Ireland","Country",36246,126,113.726,164.631,110,"Country",36246,123.49962689629814,96.41626594978368,153.4821212024347,12.272388087543762,13.49962689629814,14.54545454545455,16
"Iraq","Iraq","Country",288,169.4635,148.69,203.062,107,"Country",288,157.49581010687822,123.13454471159132,194.7271843928706,47.19234589427872,50.495810106878224,58.37710280373833,62.46350000000001
"Iran","Iran","Country",27486.5,1611.198,1534.652,1701.492,1112,"Country",27486.5,1522.5507664815852,1431.9807129794665,1616.1931917369357,36.9200329569771,410.5507664815853,44.89190647482013,499.19799999999987
"Indonesia","Indonesia","Country",10972,708.0625,660.019,771.063,482,"Country",10972,667.7430343014046,603.3855463302605,732.4510486384122,38.53589923265655,185.74303430140455,46.90093360995851,226.0625
"India","India","Country",22110.5,1125.78,1066.2125,1199.923,792,"Country",22110.5,1066.896015406231,988.4066805119172,1143.617798031753,34.70909285432211,274.8960154062311,42.14393939393939,333.78
"Hungary","Hungary","Country",8402.5,1060.748,1005.497,1125.8885,727,"Country",8402.5,997.7916580521874,922.5032139162532,1079.2854678629485,37.247820915018906,270.79165805218736,45.90756533700138,333.74800000000005
"Honduras","Honduras","Country",3743.5,369.7505,326.649,429.917,231,"Country",3743.5,346.8977893719024,289.5580008082395,405.0724004884826,50.17220319129974,115.89778937190238,60.065151515151506,138.7505
