"Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Antarctica","Antigua and Barbuda","Argentina"
43,0,0,0,6.663326653306614,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4.775551102204409,0,0,0,0,0,0,0,0,0
13.27054108216433,0,0,0,0,0,0,0,0,0
7.6072144288577155,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
40.6432865731463,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
15.158316633266534,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
2,0,3.831663326653307,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
30.26052104208417,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
35.92384769539078,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
17.04609218436874,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
12.326653306613228,0,0,0,0,0,0,0,0,0
37.811623246492985,0,0,0,0,0,0,0,0,0
6.663326653306614,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
5,1.9438877755511021,2,0,0,0,0,0,0,0
10.438877755511022,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
22.70941883767535,0,47.25050100200401,0,0,0,0,0,0,0
4.775551102204409,0,0,0,0,0,0,0,0,0
5,0,2,0,0,0,0,0,0,0
10,0,2.8877755511022043,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
6.663326653306614,0,0,0,0,0,0,0,0,0
1,13.27054108216433,12.326653306613228,0,0,0,0,0,0,0
8.551102204408817,0,1,0,0,0,0,0,0,0
1,13.27054108216433,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,35.92384769539078,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
32.14829659318637,0,0,0,0,0,0,0,0,0
5.719438877755511,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
6,0,1,0,1.9438877755511021,0,0,0,0,0
4.775551102204409,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
6.663326653306614,0,0,0,0,0,0,0,0,0
1,0,1.9438877755511021,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
4.775551102204409,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
22.70941883767535,0,1,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
21.76553106212425,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0
1.9438877755511021,0,7.6072144288577155,0,0,0,0,0,0,0
1,0,24.597194388777556,0,0,0,0,0,0,0
8.551102204408817,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4.775551102204409,1,1,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4.775551102204409,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4.775551102204409,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
6.663326653306614,0,0,0,0,0,0,0,0,0
23.653306613226455,2.8877755511022043,2.8877755511022043,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
5.719438877755511,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
1,0,4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,3.831663326653307,0,0,0,0,0,0,0
12.326653306613228,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,2.8877755511022043,9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,57.633266533066134,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
1,0,39.699398797595194,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
6,1,56.68937875751503,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,3.831663326653307,1,0,0,0,0,0,0,0
1,106,76,1,2,72,11,1,6,2086
2,0,0,0,0,0,0,0,0,0
1,1,1.9438877755511021,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,378
18,0,0,0,0,0,0,0,0,0
3,1.9438877755511021,4.775551102204409,0,0,0,0,0,0,0
3,7.6072144288577155,14.214428857715431,0,0,0,0,0,0,0
10,1.9438877755511021,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,1,4,0,0,0,0,0,0,0
1,76.51102204408818,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4,29.316633266533067,0,0,0,0,0,0,0,15
2,0,0,0,0,0,0,0,0,0
1,17.98997995991984,0,0,0,0,0,0,0,0
8,0,1.9438877755511021,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,1.9438877755511021,44.4188376753507,0,0,0,1,0,0,0
0,1.9438877755511021,5.719438877755511,0,2,0,0,0,0,0
0,7.6072144288577155,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,2.8877755511022043,1.9438877755511021,0,0,0,0,0,0,0
0,1,0,0,2,0,0,0,0,0
0,4.775551102204409,0,0,0,0,0,0,0,0
0,2.8877755511022043,18.933867735470944,0,0,0,0,0,0,0
0,2.8877755511022043,1,0,0,0,0,0,0,0
0,2.8877755511022043,0,0,0,0,0,0,0,0
0,7.6072144288577155,1,0,3,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,22.70941883767535,0,0,0,0,0,0,0,0
0,97.27655310621243,1,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
0,8.551102204408817,20.82164328657315,0,0,0,0,0,0,0
0,11.382765531062125,1,0,2,0,0,0,0,0
0,9.49498997995992,0,0,0,0,0,0,0,11.382765531062125
0,4.775551102204409,0,0,0,0,0,0,0,0
0,9.49498997995992,11.382765531062125,0,0,0,0,0,0,0
0,69.90380761523046,1.9438877755511021,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,11.382765531062125,0,0,9,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,64.24048096192385,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,90.66933867735472,0,0,0,0,0,0,0,0
0,15.158316633266534,12.326653306613228,0,4,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,5.719438877755511,0,0,0,0,0,0,0,0
0,42.5310621242485,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,9.49498997995992,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,6.663326653306614,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,1.9438877755511021,0,0,0,0,0,0,0
0,8.551102204408817,0,0,1,0,0,0,0,0
0,1,11.382765531062125,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,16.102204408817634
0,5.719438877755511,1,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0
0,3.831663326653307,0,0,0,0,0,0,0,0
0,5.719438877755511,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0
0,17.04609218436874,1.9438877755511021,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0
0,13.27054108216433,0,0,0,0,0,0,0,0
0,16.102204408817634,0,0,0,0,0,0,0,0
0,1.9438877755511021,1,0,0,0,0,0,0,0
0,7.6072144288577155,0,0,0,0,0,0,0,0
0,25.54108216432866,0,0,0,0,0,0,0,0
0,7.6072144288577155,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,1,0,0,0
0,2.8877755511022043,1,0,1,0,10.438877755511022,0,0,0
0,1,3,0,0,0,0,0,0,0
0,4.775551102204409,1.9438877755511021,0,0,0,0,0,0,0
0,24.597194388777556,20.82164328657315,0,0,0,1,0,0,0
0,1,0,0,1.9438877755511021,0,0,0,0,0
0,2.8877755511022043,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,6.663326653306614,1,0,0,0,0,0,0,0
0,7.6072144288577155,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,2.8877755511022043,3.831663326653307,0,0,0,0,0,0,0
0,3.831663326653307,0,0,0,0,0,0,0,0
0,51.96993987975952,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,2.8877755511022043,3.831663326653307,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,45.362725450901806,0,0,0,0,0,0,0,0
0,1.9438877755511021,4.775551102204409,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,1
0,7.6072144288577155,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,2.8877755511022043,1,0,0,0,0,0,0,0
0,2,8,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,11.382765531062125,0,0,0,0,0,0,0,0
0,4.775551102204409,1,0,0,0,0,0,0,0
0,1,36.86773547094189,0,2.8877755511022043,0,0,0,0,0
0,28.372745490981966,1,0,0,0,0,0,0,0
0,70.84769539078157,3.831663326653307,0,1,0,0,0,0,0
0,49.138276553106216,1,0,0,0,0,0,0,0
0,79.34268537074149,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,3.831663326653307,0,0,0,0,0,0,0,0
0,6.663326653306614,26.48496993987976,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,10.438877755511022,0,0,0,0,0,0,0,0
0,8.551102204408817,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,3.831663326653307,0,0,1,0,0,0,0,0
0,2.8877755511022043,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,9.49498997995992,1,0,0,0,0,0,0,0
0,1,5.719438877755511,0,0,0,0,0,0,0
0,1.9438877755511021,1,0,0,0,0,0,0,0
0,2.8877755511022043,1,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,1,4.775551102204409,0,0,0,0,0,0,0
0,22.70941883767535,9.49498997995992,0,0,0,0,0,0,0
0,3.831663326653307,4.775551102204409,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,11
0,9.49498997995992,1,0,0,0,0,0,0,0
0,1.9438877755511021,57.633266533066134,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,3.831663326653307,0,0,0,0,0,0,0,0
0,1,6.663326653306614,0,0,0,0,0,0,0
0,1.9438877755511021,3.831663326653307,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,1,15.158316633266534,0,0,0,0,0,0,0
0,3.831663326653307,5.719438877755511,0,0,0,6.663326653306614,0,0,0
0,1,1,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1.9438877755511021,15.158316633266534,0,0,0,0,0,0,0
0,6.663326653306614,0,0,0,0,0,0,0,0
0,1,11.382765531062125,0,0,0,0,0,0,0
0,1,1.9438877755511021,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0
0,1.9438877755511021,1,0,0,0,0,0,0,0
0,2.8877755511022043,40.6432865731463,0,0,0,0,0,0,0
0,10.438877755511022,5.719438877755511,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,62.35270541082165,0,0,0,0,0,0,0,0
0,1,1.9438877755511021,0,0,0,0,0,0,0
0,9.49498997995992,2.8877755511022043,0,0,0,0,0,0,0
0,2.8877755511022043,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,4.775551102204409,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,1,1,0,3.831663326653307,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,19.877755511022045,18.933867735470944,0,1.9438877755511021,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,8.551102204408817,7.6072144288577155,0,0,0,0,0,0,0
0,2.8877755511022043,10,0,0,0,0,0,0,0
0,2.8877755511022043,0,0,0,0,0,0,0,0
0,64.24048096192385,0,0,0,0,0,0,0,0
0,2.8877755511022043,2.8877755511022043,0,0,0,0,0,0,0
0,9.49498997995992,0,0,0,0,0,0,0,0
0,2.8877755511022043,1,0,1.9438877755511021,0,0,0,0,0
0,5.719438877755511,2.8877755511022043,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,10.438877755511022,0,0,0,0,0,0,2
0,36.86773547094189,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,5.719438877755511,0,0,0,0,0,0,0,0
0,12.326653306613228,0,0,0,0,0,0,0,0
0,10.438877755511022,1,0,0,0,0,0,0,0
0,5.719438877755511,0,0,0,0,0,0,0,0
0,3.831663326653307,1.9438877755511021,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,41.587174348697395,0,0,0,0,0,0,0,0
0,2.8877755511022043,2.8877755511022043,0,0,0,0,0,0,0
0,3.831663326653307,44.4188376753507,0,0,0,0,0,0,0
0,95.38877755511022,1.9438877755511021,0,0,0,0,0,0,0
0,1,9.49498997995992,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0
0,4.775551102204409,0,0,0,0,0,0,0,0
0,2.8877755511022043,1,0,1.9438877755511021,0,0,0,0,0
0,1.9438877755511021,0,0,0,0,0,0,0,0
0,12,6,0,1,0,0,0,0,0
0,1.9438877755511021,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,3,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0
0,1,30.26052104208417,0,0,0,0,0,0,0
0,3,1.9438877755511021,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,5.719438877755511,0,1,0,0,0,0,0
0,1,4.775551102204409,0,0,0,0,0,0,0
0,1,13.27054108216433,0,0,0,0,0,0,0
0,0,2.8877755511022043,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,2.8877755511022043,0,0,0,0,0,0,0
0,0,1.9438877755511021,0,0,0,0,0,0,0
0,0,1.9438877755511021,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,3.831663326653307,0,0,0,0,0,0,0
0,0,20.82164328657315,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,8.551102204408817,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,0
0,0,9.49498997995992,0,0,0,0,0,0,0
0,0,34.97995991983968,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,22.70941883767535,0,0,0,0,0,0,0
0,0,2.8877755511022043,0,0,0,0,0,0,0
0,0,1.9438877755511021,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,31.204408817635272,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1.9438877755511021,0,0,0,0,0,0,0
0,0,39.699398797595194,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,28.372745490981966,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1.9438877755511021,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1.9438877755511021,0,0,0,0,0,0,0
0,0,16.102204408817634,0,0,0,0,0,0,0
0,0,66.12825651302606,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,4.775551102204409,0,0,0,0,0,0,0
0,0,14.214428857715431,0,0,0,0,0,0,0
0,0,1.9438877755511021,0,0,0,0,0,0,0
0,0,2.8877755511022043,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,3.831663326653307,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1.9438877755511021,0,0,0,0,0,0,0
0,0,17.04609218436874,0,0,0,0,0,0,0
