"variable","Name","Estimate","s.e.","95%Lower","95%Upper","n","Observed","Est_s.e."
"Africa","iChao",6634.669,71.705,6499.979,6781.262,"253667",NA,NA
"Asia","iChao",8672.036,93.21,8495.953,8861.53,"196746",NA,NA
"Europe","iChao",3223.425,49.287,3133.231,3326.799,"3390257",NA,NA
"North America","iChao",6453.762,57.674,6347.435,6573.852,"2769963",NA,NA
"Oceania","iChao",2465.169,38.255,2396.689,2547.137,"267027",NA,NA
"South America","iChao",5587.978,62.545,5471.332,5716.746,"398169",NA,NA
"Africa","iChao",6643.022,70.719,6510.078,6787.487,"251059",NA,NA
"Asia","iChao",8554.064,83.969,8395.12,8724.434,"194221",NA,NA
"Europe","iChao",3303.444,57.067,3199.302,3423.459,"3389843",NA,NA
"North America","iChao",6481.885,59.686,6371.878,6606.198,"2775030",NA,NA
"Oceania","iChao",2489.696,41.285,2415.92,2578.304,"269741",NA,NA
"South America","iChao",5606.034,63.306,5487.955,5736.356,"397447",NA,NA
"Africa","iChao",6566.74,69.034,6437.089,6707.895,"256147",NA,NA
"Asia","iChao",8721.71,96.756,8539.047,8918.541,"202510",NA,NA
"Europe","iChao",3239.516,52.397,3143.892,3349.702,"3391022",NA,NA
"North America","iChao",6533.412,62.966,6417.366,6664.565,"2774905",NA,NA
"Oceania","iChao",2521.029,42.364,2445.03,2611.612,"269512",NA,NA
"South America","iChao",5690.428,70.29,5559.586,5835.412,"398654",NA,NA
"Africa","iChao",6825.135,83.77,6668.104,6996.74,"259227",NA,NA
"Asia","iChao",8899.404,104.717,8701.798,9112.52,"204281",NA,NA
"Europe","iChao",3342.134,59.37,3233.725,3466.918,"3395028",NA,NA
"North America","iChao",6559.493,65.771,6438.414,6696.64,"2775660",NA,NA
"Oceania","iChao",2568.574,49.048,2480.989,2673.918,"269254",NA,NA
"South America","iChao",5715.239,72.146,5580.995,5864.111,"402539",NA,NA
"Africa","iChao",6768.277,80.003,6618.209,6932.06,"253708",NA,NA
"Asia","iChao",8710.779,95.135,8531.093,8904.22,"192420",NA,NA
"Europe","iChao",3192.403,49.344,3102.398,3296.222,"3387859",NA,NA
"North America","iChao",6400.484,53.88,6301.097,6512.615,"2771915",NA,NA
"Oceania","iChao",2576.77,46.885,2492.584,2676.934,"266732",NA,NA
"South America","iChao",5685.375,70.32,5554.506,5830.451,"398849",NA,NA
"Africa","iChao",6615.929,70.467,6483.53,6759.956,"254502",NA,NA
"Asia","iChao",8721.097,94.611,8542.338,8913.406,"201389",NA,NA
"Europe","iChao",3163.953,46.023,3079.845,3260.606,"3394252",NA,NA
"North America","iChao",6505.598,61.296,6392.638,6633.28,"2775676",NA,NA
"Oceania","iChao",2516.328,42.574,2440.054,2607.479,"267828",NA,NA
"South America","iChao",5631.316,65.088,5509.961,5765.356,"401227",NA,NA
"Africa","iChao",6579.444,69.724,6448.508,6722.023,"249977",NA,NA
"Asia","iChao",8633.761,90.387,8462.915,8817.415,"191066",NA,NA
"Europe","iChao",3134.012,44.888,3052.11,3228.427,"3392619",NA,NA
"North America","iChao",6560.295,64.107,6442.086,6693.757,"2770691",NA,NA
"Oceania","iChao",2534.711,44.905,2454.369,2630.977,"267171",NA,NA
"South America","iChao",5509.833,58.486,5400.747,5630.233,"392895",NA,NA
"Africa","iChao",6703.498,76.03,6560.794,6859.051,"256021",NA,NA
"Asia","iChao",8834.776,99.642,8646.565,9037.371,"199201",NA,NA
"Europe","iChao",3156.303,44.506,3074.846,3249.633,"3391256",NA,NA
"North America","iChao",6546.008,63.517,6428.92,6678.279,"2774381",NA,NA
"Oceania","iChao",2542.839,43.515,2464.649,2635.738,"269230",NA,NA
"South America","iChao",5615.913,64.596,5495.503,5748.97,"400645",NA,NA
"Africa","iChao",6560.546,67.641,6433.422,6698.758,"251715",NA,NA
"Asia","iChao",8659.424,91.877,8485.8,8846.145,"197758",NA,NA
"Europe","iChao",3257.424,53.547,3159.682,3370.009,"3391379",NA,NA
"North America","iChao",6564.91,67.926,6440.08,6706.789,"2772574",NA,NA
"Oceania","iChao",2520.377,43.069,2443.237,2612.611,"265575",NA,NA
"South America","iChao",5513.979,56.333,5408.698,5629.72,"394924",NA,NA
"Africa","iChao",6599.045,69.245,6468.903,6740.532,"254436",NA,NA
"Asia","iChao",8637.341,90.794,8465.745,8821.841,"200407",NA,NA
"Europe","iChao",3250.194,53.516,3152.574,3362.785,"3389302",NA,NA
"North America","iChao",6499.342,61.349,6386.336,6627.191,"2772785",NA,NA
"Oceania","iChao",2545.842,44.4,2466.16,2640.745,"267439",NA,NA
"South America","iChao",5541.074,59.173,5430.625,5662.802,"398527",NA,NA
"Africa","iChao",6634.669,71.705,6499.979,6781.262,"253667",NA,NA
"Asia","iChao",8672.036,93.21,8495.953,8861.53,"196746",NA,NA
"Europe","iChao",3223.425,49.287,3133.231,3326.799,"3390257",NA,NA
"North America","iChao",6453.762,57.674,6347.435,6573.852,"2769963",NA,NA
"Oceania","iChao",2465.169,38.255,2396.689,2547.137,"267027",NA,NA
"South America","iChao",5587.978,62.545,5471.332,5716.746,"398169",NA,NA
"Africa","iChao",6643.022,70.719,6510.078,6787.487,"251059",NA,NA
"Asia","iChao",8554.064,83.969,8395.12,8724.434,"194221",NA,NA
"Europe","iChao",3303.444,57.067,3199.302,3423.459,"3389843",NA,NA
"North America","iChao",6481.885,59.686,6371.878,6606.198,"2775030",NA,NA
"Oceania","iChao",2489.696,41.285,2415.92,2578.304,"269741",NA,NA
"South America","iChao",5606.034,63.306,5487.955,5736.356,"397447",NA,NA
"Africa","iChao",6566.74,69.034,6437.089,6707.895,"256147",NA,NA
"Asia","iChao",8721.71,96.756,8539.047,8918.541,"202510",NA,NA
"Europe","iChao",3239.516,52.397,3143.892,3349.702,"3391022",NA,NA
"North America","iChao",6533.412,62.966,6417.366,6664.565,"2774905",NA,NA
"Oceania","iChao",2521.029,42.364,2445.03,2611.612,"269512",NA,NA
"South America","iChao",5690.428,70.29,5559.586,5835.412,"398654",NA,NA
"Africa","iChao",6825.135,83.77,6668.104,6996.74,"259227",NA,NA
"Asia","iChao",8899.404,104.717,8701.798,9112.52,"204281",NA,NA
"Europe","iChao",3342.134,59.37,3233.725,3466.918,"3395028",NA,NA
"North America","iChao",6559.493,65.771,6438.414,6696.64,"2775660",NA,NA
"Oceania","iChao",2568.574,49.048,2480.989,2673.918,"269254",NA,NA
"South America","iChao",5715.239,72.146,5580.995,5864.111,"402539",NA,NA
"Africa","iChao",6768.277,80.003,6618.209,6932.06,"253708",NA,NA
"Asia","iChao",8710.779,95.135,8531.093,8904.22,"192420",NA,NA
"Europe","iChao",3192.403,49.344,3102.398,3296.222,"3387859",NA,NA
"North America","iChao",6400.484,53.88,6301.097,6512.615,"2771915",NA,NA
"Oceania","iChao",2576.77,46.885,2492.584,2676.934,"266732",NA,NA
"South America","iChao",5685.375,70.32,5554.506,5830.451,"398849",NA,NA
"Africa","iChao",6615.929,70.467,6483.53,6759.956,"254502",NA,NA
"Asia","iChao",8721.097,94.611,8542.338,8913.406,"201389",NA,NA
"Europe","iChao",3163.953,46.023,3079.845,3260.606,"3394252",NA,NA
"North America","iChao",6505.598,61.296,6392.638,6633.28,"2775676",NA,NA
"Oceania","iChao",2516.328,42.574,2440.054,2607.479,"267828",NA,NA
"South America","iChao",5631.316,65.088,5509.961,5765.356,"401227",NA,NA
"Africa","iChao",6579.444,69.724,6448.508,6722.023,"249977",NA,NA
"Asia","iChao",8633.761,90.387,8462.915,8817.415,"191066",NA,NA
"Europe","iChao",3134.012,44.888,3052.11,3228.427,"3392619",NA,NA
"North America","iChao",6560.295,64.107,6442.086,6693.757,"2770691",NA,NA
"Oceania","iChao",2534.711,44.905,2454.369,2630.977,"267171",NA,NA
"South America","iChao",5509.833,58.486,5400.747,5630.233,"392895",NA,NA
"Africa","iChao",6703.498,76.03,6560.794,6859.051,"256021",NA,NA
"Asia","iChao",8834.776,99.642,8646.565,9037.371,"199201",NA,NA
"Europe","iChao",3156.303,44.506,3074.846,3249.633,"3391256",NA,NA
"North America","iChao",6546.008,63.517,6428.92,6678.279,"2774381",NA,NA
"Oceania","iChao",2542.839,43.515,2464.649,2635.738,"269230",NA,NA
"South America","iChao",5615.913,64.596,5495.503,5748.97,"400645",NA,NA
"Africa","iChao",6560.546,67.641,6433.422,6698.758,"251715",NA,NA
"Asia","iChao",8659.424,91.877,8485.8,8846.145,"197758",NA,NA
"Europe","iChao",3257.424,53.547,3159.682,3370.009,"3391379",NA,NA
"North America","iChao",6564.91,67.926,6440.08,6706.789,"2772574",NA,NA
"Oceania","iChao",2520.377,43.069,2443.237,2612.611,"265575",NA,NA
"South America","iChao",5513.979,56.333,5408.698,5629.72,"394924",NA,NA
"Africa","iChao",6599.045,69.245,6468.903,6740.532,"254436",NA,NA
"Asia","iChao",8637.341,90.794,8465.745,8821.841,"200407",NA,NA
"Europe","iChao",3250.194,53.516,3152.574,3362.785,"3389302",NA,NA
"North America","iChao",6499.342,61.349,6386.336,6627.191,"2772785",NA,NA
"Oceania","iChao",2545.842,44.4,2466.16,2640.745,"267439",NA,NA
"South America","iChao",5541.074,59.173,5430.625,5662.802,"398527",NA,NA
"Africa","iChao",6599.731,69.257,6469.567,6741.24,"254127",NA,NA
"Asia","iChao",8622.384,86.241,8459.13,8797.352,"198233",NA,NA
"Europe","iChao",3140.224,44.937,3058.179,3234.685,"3393000",NA,NA
"North America","iChao",6520.215,59.591,6410.111,6644.031,"2774243",NA,NA
"Oceania","iChao",2498.268,41.746,2423.613,2587.802,"266176",NA,NA
"South America","iChao",5683.612,67.178,5558.307,5821.901,"399143",NA,NA
"Africa","iChao",6642.402,72.908,6505.523,6791.531,"251637",NA,NA
"Asia","iChao",8707.111,95.473,8526.82,8901.275,"193377",NA,NA
"Europe","iChao",3184.235,48.612,3095.547,3286.495,"3386815",NA,NA
"North America","iChao",6523.825,61.447,6410.477,6651.699,"2773049",NA,NA
"Oceania","iChao",2498.787,41.785,2424.059,2588.404,"267902",NA,NA
"South America","iChao",5654.868,68.412,5527.521,5795.977,"399602",NA,NA
"Africa","iChao",6659.876,74.384,6520.284,6812.087,"256873",NA,NA
"Asia","iChao",8683.727,92.024,8509.774,8870.691,"194968",NA,NA
"Europe","iChao",3206.004,49.386,3115.8,3309.775,"3390498",NA,NA
"North America","iChao",6497.261,59.787,6386.972,6621.679,"2767794",NA,NA
"Oceania","iChao",2440.204,34.663,2377.949,2514.241,"271127",NA,NA
"South America","iChao",5645.447,67.923,5519.01,5785.548,"400802",NA,NA
"Africa","iChao",6863.996,83.883,6706.617,7035.686,"247362",NA,NA
"Asia","iChao",8851.312,99.949,8662.5,9054.507,"192996",NA,NA
"Europe","iChao",3172.153,48.551,3083.685,3274.408,"3391880",NA,NA
"North America","iChao",6428.272,55.705,6325.532,6544.214,"2774145",NA,NA
"Oceania","iChao",2598.564,51.653,2506.289,2709.458,"267597",NA,NA
"South America","iChao",5748.054,73.363,5611.497,5899.383,"398310",NA,NA
"Africa","iChao",6671.479,73.853,6532.8,6822.512,"257652",NA,NA
"Asia","iChao",8826.144,99.202,8638.758,9027.835,"202270",NA,NA
"Europe","iChao",3296.448,57.07,3192.368,3416.544,"3390669",NA,NA
"North America","iChao",6587.192,65.423,6466.517,6723.351,"2772227",NA,NA
"Oceania","iChao",2510.75,40.346,2438.201,2596.823,"265715",NA,NA
"South America","iChao",5631.05,67.164,5506.024,5769.585,"405280",NA,NA
"Africa","iChao",6678.363,75.279,6537.098,6832.411,"257196",NA,NA
"Asia","iChao",8662.274,92.537,8487.442,8850.376,"194971",NA,NA
"Europe","iChao",3232.78,54.977,3132.871,3348.869,"3391334",NA,NA
"North America","iChao",6444.003,56.369,6340.003,6561.291,"2771929",NA,NA
"Oceania","iChao",2529.74,44.055,2450.855,2624.11,"269772",NA,NA
"South America","iChao",5618.96,64.988,5497.842,5752.848,"399637",NA,NA
"Africa","iChao",6551.806,68.487,6423.19,6691.851,"251085",NA,NA
"Asia","iChao",8606.231,88.474,8438.94,8785.932,"197334",NA,NA
"Europe","iChao",3204.844,49.725,3114.075,3309.388,"3395183",NA,NA
"North America","iChao",6657.819,69.789,6529.092,6803.067,"2775635",NA,NA
"Oceania","iChao",2486.932,39.35,2416.347,2571.078,"269086",NA,NA
"South America","iChao",5637.113,67.16,5512.064,5775.607,"396890",NA,NA
"Africa","iChao",6592.214,70.08,6460.593,6735.503,"249827",NA,NA
"Asia","iChao",8670.543,93.328,8494.249,8860.289,"195871",NA,NA
"Europe","iChao",3219.559,50.685,3127.026,3326.106,"3389938",NA,NA
"North America","iChao",6543.114,63.766,6425.618,6675.957,"2770089",NA,NA
"Oceania","iChao",2552.087,47.398,2467.432,2653.869,"266029",NA,NA
"South America","iChao",5560.583,61.607,5445.729,5687.466,"394997",NA,NA
"Africa","iChao",6561.232,68.287,6432.943,6700.818,"253839",NA,NA
"Asia","iChao",8550.175,85.068,8389.234,8722.862,"196135",NA,NA
"Europe","iChao",3250.562,54.413,3151.42,3365.172,"3393780",NA,NA
"North America","iChao",6584.743,65.239,6464.404,6720.515,"2769866",NA,NA
"Oceania","iChao",2487.054,41.074,2413.661,2575.217,"269228",NA,NA
"South America","iChao",5508.224,57.981,5400.04,5627.542,"400156",NA,NA
"Africa","iChao",6691.691,74.621,6551.561,6844.285,"255451",NA,NA
"Asia","iChao",8767.005,95.614,8586.3,8961.302,"201236",NA,NA
"Europe","iChao",3124.765,42.044,3047.78,3212.894,"3391725",NA,NA
"North America","iChao",6490.595,59.301,6381.194,6613.992,"2775995",NA,NA
"Oceania","iChao",2515.138,45.39,2434.323,2612.903,"267959",NA,NA
"South America","iChao",5638.019,65.248,5516.348,5772.371,"397052",NA,NA
"Africa","iChao",6532.519,67.033,6406.586,6669.538,"257190",NA,NA
"Asia","iChao",8561.057,87.978,8394.785,8739.835,"201128",NA,NA
"Europe","iChao",3197.255,51.101,3104.234,3304.986,"3390218",NA,NA
"North America","iChao",6559.713,63.457,6442.634,6691.747,"2773166",NA,NA
"Oceania","iChao",2549.139,45.249,2468.022,2645.96,"266678",NA,NA
"South America","iChao",5486.585,57.497,5379.359,5604.969,"402579",NA,NA
"Africa","iChao",6646.795,71.627,6512.203,6793.178,"254075",NA,NA
"Asia","iChao",8807.889,96.748,8625.016,9004.461,"197241",NA,NA
"Europe","iChao",3317.116,60.38,3207.244,3444.451,"3388333",NA,NA
"North America","iChao",6599.559,67.387,6475.4,6739.956,"2774233",NA,NA
"Oceania","iChao",2583.683,50.322,2493.798,2691.733,"268152",NA,NA
"South America","iChao",5597.837,61.942,5482.216,5725.255,"397067",NA,NA
"Africa","iChao",6716.435,77.352,6571.312,6874.759,"256520",NA,NA
"Asia","iChao",8763.525,96.751,8580.761,8960.226,"199737",NA,NA
"Europe","iChao",3272.206,56.194,3169.843,3390.594,"3391753",NA,NA
"North America","iChao",6556.627,62.233,6441.693,6685.987,"2771488",NA,NA
"Oceania","iChao",2490.03,38.862,2420.199,2572.997,"268918",NA,NA
"South America","iChao",5705.463,71.521,5572.373,5853.032,"402080",NA,NA
"Africa","iChao",6714.074,76.756,6570.029,6871.137,"257906",NA,NA
"Asia","iChao",8680.492,92.498,8505.683,8868.462,"197370",NA,NA
"Europe","iChao",3137.455,42.453,3059.664,3226.378,"3393052",NA,NA
"North America","iChao",6505.992,58.555,6397.783,6627.634,"2768446",NA,NA
"Oceania","iChao",2564.194,46.051,2481.55,2662.628,"268353",NA,NA
"South America","iChao",5646.761,68.198,5519.832,5787.451,"397578",NA,NA
"Africa","iChao",6680.335,73.986,6541.386,6831.619,"252598",NA,NA
"Asia","iChao",8816.845,96.868,8633.732,9013.646,"196491",NA,NA
"Europe","iChao",3157.022,42.975,3078.175,3246.927,"3390008",NA,NA
"North America","iChao",6590.125,65.345,6469.565,6726.088,"2773394",NA,NA
"Oceania","iChao",2510.202,38.592,2440.552,2592.241,"267046",NA,NA
"South America","iChao",5643.021,66.014,5519.97,5779.002,"400883",NA,NA
"Africa","iChao",6633.079,70.065,6501.347,6776.187,"252669",NA,NA
"Asia","iChao",8806.037,97.768,8621.313,9004.763,"195697",NA,NA
"Europe","iChao",3114.976,41.381,3039.206,3201.719,"3389248",NA,NA
"North America","iChao",6599.04,69.623,6471.028,6744.392,"2773649",NA,NA
"Oceania","iChao",2469.756,38.742,2400.415,2552.779,"267830",NA,NA
"South America","iChao",5602.709,63.66,5484.019,5733.811,"398584",NA,NA
"Africa","iChao",6697.313,72.778,6560.479,6845.963,"255835",NA,NA
"Asia","iChao",8838.29,96.589,8655.63,9034.448,"202024",NA,NA
"Europe","iChao",3096.059,41.118,3020.904,3182.401,"3391790",NA,NA
"North America","iChao",6611.133,67.441,6486.797,6751.559,"2773188",NA,NA
"Oceania","iChao",2523.609,42.326,2447.635,2614.062,"268904",NA,NA
"South America","iChao",5627.2,63.202,5509.207,5757.192,"400996",NA,NA
"Africa","iChao",6637.156,70.794,6504.097,6781.801,"253465",NA,NA
"Asia","iChao",8570.236,85.508,8408.445,8743.796,"200225",NA,NA
"Europe","iChao",3247.677,52.154,3152.389,3357.234,"3386234",NA,NA
"North America","iChao",6525.835,60.079,6414.846,6650.682,"2774542",NA,NA
"Oceania","iChao",2455.686,35.788,2391.372,2532.082,"268604",NA,NA
"South America","iChao",5565.156,61.695,5450.124,5692.205,"396590",NA,NA
"Africa","iChao",6572.765,70.195,6441.006,6716.373,"257028",NA,NA
"Asia","iChao",8502.186,86.133,8339.423,8677.238,"199137",NA,NA
"Europe","iChao",3186.422,48.626,3097.69,3288.69,"3392274",NA,NA
"North America","iChao",6492.434,59.442,6382.776,6616.128,"2773070",NA,NA
"Oceania","iChao",2548.591,46.766,2465.014,2648.958,"268568",NA,NA
"South America","iChao",5489.4,58.06,5381.164,5608.986,"400433",NA,NA
"Africa","iChao",6723.257,76.569,6579.516,6879.884,"254168",NA,NA
"Asia","iChao",8758.568,99.207,8571.355,8960.464,"201312",NA,NA
"Europe","iChao",3229.054,51.476,3135.089,3337.282,"3388045",NA,NA
"North America","iChao",6557.454,65.213,6437.353,6693.382,"2773467",NA,NA
"Oceania","iChao",2564.792,45.439,2483.143,2661.797,"267304",NA,NA
"South America","iChao",5689.963,70.546,5558.671,5835.504,"399322",NA,NA
"Africa","iChao",6669.62,76.064,6526.979,6825.379,"250457",NA,NA
"Asia","iChao",8635.486,93.264,8459.402,8825.197,"189326",NA,NA
"Europe","iChao",3237.862,54.471,3138.751,3352.747,"3393288",NA,NA
"North America","iChao",6476.894,59.353,6367.498,6600.511,"2771022",NA,NA
"Oceania","iChao",2535.495,42.734,2458.687,2626.703,"268910",NA,NA
"South America","iChao",5617.061,68.026,5490.589,5757.544,"399169",NA,NA
"Africa","iChao",6647.662,72.825,6510.914,6796.593,"257667",NA,NA
"Asia","iChao",8725.53,95.36,8545.396,8919.406,"201780",NA,NA
"Europe","iChao",3187.52,44.79,3105.315,3281.193,"3390288",NA,NA
"North America","iChao",6538.06,62.099,6423.484,6667.263,"2769329",NA,NA
"Oceania","iChao",2462.682,36.69,2396.793,2541.055,"267280",NA,NA
"South America","iChao",5657.727,66.948,5532.952,5795.652,"401873",NA,NA
"Africa","iChao",6534.425,64.999,6412.15,6667.112,"255627",NA,NA
"Asia","iChao",8576.677,87.058,8412.041,8753.479,"201054",NA,NA
"Europe","iChao",3360.793,61.023,3249.405,3489.098,"3388464",NA,NA
"North America","iChao",6541.486,64.039,6423.528,6674.946,"2771596",NA,NA
"Oceania","iChao",2504.401,40.237,2432.118,2590.322,"268102",NA,NA
"South America","iChao",5542.061,59.15,5431.648,5663.735,"397598",NA,NA
"Africa","iChao",6772.25,78.281,6625.259,6932.342,"252379",NA,NA
"Asia","iChao",8907.549,101.235,8716.251,9113.297,"195453",NA,NA
"Europe","iChao",3133.71,42.585,3055.724,3222.964,"3391657",NA,NA
"North America","iChao",6604.717,68.047,6479.38,6746.532,"2772694",NA,NA
"Oceania","iChao",2459.449,35.413,2395.702,2534.918,"270885",NA,NA
"South America","iChao",5709.202,70.098,5578.605,5853.67,"399944",NA,NA
"Africa","iChao",6480.445,65.099,6358.168,6613.539,"257503",NA,NA
"Asia","iChao",8331.098,79.953,8180.026,8493.604,"204829",NA,NA
"Europe","iChao",3142.614,42.387,3064.891,3231.342,"3388997",NA,NA
"North America","iChao",6466.471,57.775,6359.88,6586.687,"2772109",NA,NA
"Oceania","iChao",2514.881,41.753,2439.969,2604.148,"268486",NA,NA
"South America","iChao",5470.245,57.012,5363.957,5587.665,"401332",NA,NA
"Africa","iChao",6654.946,73.606,6516.769,6805.516,"260564",NA,NA
"Asia","iChao",8685.664,92.663,8510.542,8873.969,"206146",NA,NA
"Europe","iChao",3230.838,47.823,3143.084,3330.872,"3390339",NA,NA
"North America","iChao",6547.417,63.282,6430.726,6679.159,"2773964",NA,NA
"Oceania","iChao",2498.251,40.51,2425.609,2584.905,"266192",NA,NA
"South America","iChao",5585.152,62.67,5468.298,5714.206,"399344",NA,NA
"Africa","iChao",6737.484,76.346,6594.092,6893.583,"259553",NA,NA
"Asia","iChao",8779.039,94.158,8600.958,8970.242,"203608",NA,NA
"Europe","iChao",3181.303,45.71,3097.576,3277.084,"3388798",NA,NA
"North America","iChao",6595.192,64.984,6475.223,6730.324,"2771619",NA,NA
"Oceania","iChao",2557.595,47.225,2473.135,2658.874,"267696",NA,NA
"South America","iChao",5659.812,66.565,5535.704,5796.898,"404574",NA,NA
"Africa","iChao",6667.296,73.916,6528.518,6818.48,"253080",NA,NA
"Asia","iChao",8855.532,101.885,8663.188,9062.798,"196992",NA,NA
"Europe","iChao",3187.983,46.102,3103.529,3284.577,"3391858",NA,NA
"North America","iChao",6610.239,69.994,6481.504,6756.32,"2774363",NA,NA
"Oceania","iChao",2466.045,36.076,2401.117,2542.945,"269266",NA,NA
"South America","iChao",5654.667,67.365,5529.17,5793.51,"396811",NA,NA
"Africa","iChao",6453.593,62.485,6336.114,6581.22,"255345",NA,NA
"Asia","iChao",8443.868,81.715,8289.301,8609.783,"197459",NA,NA
"Europe","iChao",3164.142,45.299,3081.264,3259.171,"3392920",NA,NA
"North America","iChao",6565.085,64.255,6446.586,6698.836,"2772480",NA,NA
"Oceania","iChao",2482.474,37.799,2414.492,2563.1,"266074",NA,NA
"South America","iChao",5544.077,58.606,5434.623,5664.568,"397231",NA,NA
"Africa","iChao",6701.989,75.185,6560.809,6855.746,"251826",NA,NA
"Asia","iChao",8608.066,87.853,8441.903,8786.458,"198187",NA,NA
"Europe","iChao",3213.32,49.1,3123.534,3316.374,"3389919",NA,NA
"North America","iChao",6518.272,61.198,6405.392,6645.64,"2772454",NA,NA
"Oceania","iChao",2564.256,47.158,2479.805,2665.262,"267877",NA,NA
"South America","iChao",5598.847,63.56,5480.351,5729.754,"397998",NA,NA
"Africa","iChao",6790.195,81.658,6637.079,6957.425,"263295",NA,NA
"Asia","iChao",8717.626,96.696,8535.084,8914.342,"209949",NA,NA
"Europe","iChao",3246.801,54.505,3147.541,3361.661,"3389359",NA,NA
"North America","iChao",6553.628,63.917,6435.795,6686.722,"2772599",NA,NA
"Oceania","iChao",2571.789,49.991,2482.627,2679.285,"267783",NA,NA
"South America","iChao",5721.567,73.7,5584.553,5873.776,"401511",NA,NA
"Africa","iChao",6534.976,68.031,6407.24,6674.113,"253829",NA,NA
"Asia","iChao",8618.26,92.063,8444.405,8805.486,"197935",NA,NA
"Europe","iChao",3219.818,53.599,3122.361,3332.939,"3388187",NA,NA
"North America","iChao",6584.732,66.082,6462.935,6722.363,"2772483",NA,NA
"Oceania","iChao",2489.45,39.281,2418.942,2573.397,"265119",NA,NA
"South America","iChao",5520.803,60.348,5408.368,5645.172,"398492",NA,NA
"Africa","iChao",6539.615,69.073,6409.99,6680.957,"254802",NA,NA
"Asia","iChao",8550.179,88.359,8383.24,8729.79,"202453",NA,NA
"Europe","iChao",3176.602,47.062,3090.614,3275.456,"3391813",NA,NA
"North America","iChao",6526.137,63.544,6409.146,6658.626,"2774958",NA,NA
"Oceania","iChao",2506.031,41.275,2432.026,2594.334,"268655",NA,NA
"South America","iChao",5516.993,58.887,5407.161,5638.225,"396928",NA,NA
"Africa","iChao",6658.203,74.76,6517.942,6811.222,"255227",NA,NA
"Asia","iChao",8656.139,94.233,8478.239,8847.834,"201662",NA,NA
"Europe","iChao",3120.185,41.623,3043.958,3207.417,"3388662",NA,NA
"North America","iChao",6487.182,62.205,6372.79,6617.026,"2773930",NA,NA
"Oceania","iChao",2491.419,39.429,2420.641,2575.677,"268986",NA,NA
"South America","iChao",5493.921,59.701,5382.761,5617.034,"399156",NA,NA
"Africa","iChao",6613.308,71.718,6478.669,6760.01,"252447",NA,NA
"Asia","iChao",8564.313,89.328,8395.574,8745.925,"199438",NA,NA
"Europe","iChao",3179.034,49.267,3089.289,3282.827,"3390766",NA,NA
"North America","iChao",6441.454,56.283,6337.621,6558.571,"2772858",NA,NA
"Oceania","iChao",2565.962,45.718,2483.839,2663.596,"265728",NA,NA
"South America","iChao",5512.938,60.307,5400.613,5637.26,"398493",NA,NA
"Africa","iChao",6660.696,73.406,6522.858,6810.817,"247732",NA,NA
"Asia","iChao",8740.866,95.891,8559.725,8935.818,"193798",NA,NA
"Europe","iChao",3172.664,49.038,3083.37,3276.011,"3391226",NA,NA
"North America","iChao",6568.612,65.133,6448.569,6704.275,"2772781",NA,NA
"Oceania","iChao",2494.267,40.027,2422.471,2579.866,"265504",NA,NA
"South America","iChao",5742.688,73.131,5606.568,5893.542,"393840",NA,NA
"Africa","iChao",6699.313,73.96,6560.345,6850.47,"255926",NA,NA
"Asia","iChao",8779.911,96.209,8598.091,8975.426,"203977",NA,NA
"Europe","iChao",3289.79,55.97,3187.637,3407.48,"3390009",NA,NA
"North America","iChao",6539.434,63.484,6422.451,6671.684,"2773450",NA,NA
"Oceania","iChao",2486.523,38.805,2416.835,2569.413,"269218",NA,NA
"South America","iChao",5697.467,69.09,5568.71,5839.816,"400164",NA,NA
"Africa","iChao",6514.462,65.578,6391.207,6648.451,"251756",NA,NA
"Asia","iChao",8482.869,84.635,8322.882,8654.822,"193530",NA,NA
"Europe","iChao",3179.669,47.91,3092.214,3280.398,"3393630",NA,NA
"North America","iChao",6510.757,62.437,6395.789,6640.92,"2773685",NA,NA
"Oceania","iChao",2526.895,43.495,2448.964,2620.011,"265590",NA,NA
"South America","iChao",5493.073,56.754,5387.136,5609.821,"398458",NA,NA
"Africa","iChao",6689.308,75.837,6547.002,6844.504,"253314",NA,NA
"Asia","iChao",8711.049,95.584,8530.545,8905.437,"198602",NA,NA
"Europe","iChao",3149.389,43.867,3069.082,3241.357,"3392451",NA,NA
"North America","iChao",6571.314,64.827,6451.781,6706.28,"2771040",NA,NA
"Oceania","iChao",2556.408,46.967,2472.385,2657.106,"270810",NA,NA
"South America","iChao",5608.867,65.342,5487.171,5743.574,"398736",NA,NA
"Africa","iChao",6718.945,76.016,6576.211,6874.41,"252623",NA,NA
"Asia","iChao",8894.445,102.964,8700.037,9103.875,"201457",NA,NA
"Europe","iChao",3255.245,52.254,3159.719,3364.948,"3388386",NA,NA
"North America","iChao",6614.755,68.47,6488.615,6757.425,"2770792",NA,NA
"Oceania","iChao",2545.781,45.904,2463.647,2644.184,"270428",NA,NA
"South America","iChao",5731.851,72.419,5597.042,5881.221,"399335",NA,NA
"Africa","iChao",6752.603,77.986,6606.211,6912.141,"252127",NA,NA
"Asia","iChao",8827.34,98.755,8640.762,9028.087,"196356",NA,NA
"Europe","iChao",3312.325,63.085,3197.967,3445.858,"3394206",NA,NA
"North America","iChao",6630.57,69.93,6501.793,6776.34,"2772818",NA,NA
"Oceania","iChao",2456.474,36.382,2391.176,2534.232,"269665",NA,NA
