scientificName,n,doiORurl,publicationYear,Notes
Anthophora lydia,1,https://www.zobodat.at/pdf/ENT_0015_0509-0512.pdf,1994,
Haetosmia ethiopiensis,40,10.11646/zootaxa.4358.2.8,2017,
"Megachile latula Vachal, 1908",2,https://doi.org/10.11646/zootaxa.3442.1.1,2012,
"Megachile serrigera Cockerell, 1937",1,"book, not public https://digitalcommons.usu.edu/bee_lab_co/223/",1937,
"Halictus chalybaeus Friese, 1909",2,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Megachile breviceps Friese, 1898",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Nomada brewsterae Broemeling, 1989",NA,NA,NA,
"Afranthidium lebanense (Mavromoustakis, 1955)",2,https://doi.org/ 10.11646/zootaxa.4976.1.1,2021,
"Megachile fulvovestita Smith, 1853",1,NA,1853,
"Patellapis suarezensis (Benoist, 1962)",1,http://www.atlashymenoptera.net/biblio/00500/Pauly_et_al_2001_Apoidea_Madagascar%20OCR_compact.pdf,2001,
"Anthophora syriaca Friese, 1922",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Lasioglossum linctum (Vachal, 1904)",1,https://doi.org/10.11646/zootaxa.3442.1.1,2012,
"Eufriesea longipennis (Friese, 1925)",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Andrena viktorovi Osytshnjuk, 1983",2,http://www.atlashymenoptera.net/biblio/01500/Gusenleitner_&_Schwarz_2002_Welweite_Checkliste_der_Bienengattung_Andrena_ENTS_S12_0001-1280.pdf,2002,
"Trachusa fulvopilosa Thorp and Brooks, 1994",1,https://www.biodiversitylibrary.org/part/777,1994,
"Coelioxys elsei Schwarz, 2001",4,https://www.zobodat.at/pdf/LBB_0048_2_1753-1771.pdf,2016,
"Coelioxys tegularis Cresson, 1869",NA,NA,NA,
Andrena olympica,10,http://www.atlashymenoptera.net/biblio/01500/Gruenwaldt_et_al_2005_Neue_Andrena_arten.pdf,2005,
"Ceratina claripennis Friese, 1917",2,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Andrena solutiscopa Scheuchl, 2005",1,http://www.atlashymenoptera.net/biblio/01500/Gruenwaldt_et_al_2005_Neue_Andrena_arten.pdf,2005,
"Lasioglossum tauricum Ebmer, 1972",1,https://onlinelibrary.wiley.com/doi/pdf/10.1002/mmnz.19720480202?casa_token=oNGfYEWP6-AAAAAA:RXPVjxFTTd-mBRKp2Ej9X2rPkuClu3jc89zNm3sIJ1x09pQntnvsTtamDZYVIbddu34BXZ_yW-i9gA4,1972,
"Melecta chalybeia (Lieftinck, 1972)",5,http://www.atlashymenoptera.net/biblio/01500/Lieftinck_1972_Further_studies_Old_World_Melectine_Bees_full.pdf,1972,
"Heriades cingulata Benoist, 1931",NA,NA,NA,
"Anthidium fulviventre Friese, 1917",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Pseudoheriades rufomandibulata (Gupta and Sharma, 1993)",2,https://www.researchgate.net/publication/373823399_New_distributional_record_of_Anthidiine_bee_Apoidea_Megachilidae_from_Ladakh_India_and_a_checklist_of_the_family_Megachilidae_Latreille_1802_Hymenoptera_Insecta_of_India,2023,
"Protandrena eurycephalus (Timberlake, 1975)",NA,NA,NA,
