scientificName,n,doiORurl,publicationYear,Title of paper,Notes
"Anthidium politum Morawitz, 1894",NA,NA,NA,"Could this have changed to Lassioglossum politum atomarium? Morawitz 1876?  In paper Astafurova, Y.V. and Proshchalykin, M.Y., 2020. The bees of the family Halictidae (Hymenoptera) described by Ferdinand Morawitz from the collection of Aleksey Fedtschenko. ZooKeys, 994, p.35.",
"Lasioglossum insigne (Meyer, 1920)",1,NA,1920,"female holotype Original article Meyer, R. 1920. Apidae—Halictinae. I. Gatt. Parasphecodes Sm. Archiv für Naturgeschichte 85((A)11): 112-137 [Date published 31/12/1920] [123]. But cant find it anywhere.",
"Eucera odontophora Kohl, 1906",3,https://www.biodiversitylibrary.org/item/246320#page/227/mode/1up,1907,"Ferdinand Kohl, South Arabia. PDF on James' hardrive found in Biodiversity Heritage Library ",
"Lasioglossum papuarum (Cockerell, 1910)",1,https://www.biodiversitylibrary.org/page/10444763#page/269/mode/1up ,1910,"Page 235, Theodore Cockerell 1 female. Biodiversity Heritage Library",
"Megachile futilis Mitchell, 1930",1,https://www.jstor.org/stable/25077245?casa_token=FplNeA_lmo0AAAAA%3A6fr6v8rWzR1l5wVOgE5euAEIpaVxrWcczWPyuiegHiDRQbBc0c_ofAOEqEqpNE6zm6GXoM5gkxPQUP3RfIFAW5qHbkbpErAZ2XKUDwpPHEsz3Ib9dfo&seq=15,1930,,
"Megachile gambiensis Cockerell, 1937",NA,NA,1937,"Published in: Cockerell, T. D. A. (1937). African Bees of the Genera Ceratina, Halictus and Megachile.Cant seem to access paper but the description is in this paper",
"Lasioglossum luridipes (Vachal, 1892)",1,https://www.researchgate.net/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician,2012,Female page 34 of document,
"Lasioglossum gorgasi (Cockerell, 1928)",1,https://www.biodiversitylibrary.org/page/50893846#page/483/mode/1up,1928,Female,
Colletes lucasi,NA,NA,NA,Can't find,
"Augochlora ectasis (Vachal, 1911)",4,https://www.researchgate.net/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician,2012,"4 females, not sure if the description is good enough though. Looks like a summary.",
"Colletes ravulus Noskiewicz, 1936",2,https://sci-hub.se/10.11646/zootaxa.3949.3.2,2015,"2 different locations, Mongolia and Russia",
"Xylocopa fortuita Melo, 2017",3,https://www.tandfonline.com/doi/epdf/10.1080/00222933.2016.1272724?needAccess=true,2017,"1 female holotype, 1 female paratype 1 male ""variation""?",
"Andrena lijiangensis Wu, 1993",NA,NA,NA,Can't find,
"Megalopta xavante Santos and Melo, 2014",2,https://www.tandfonline.com/doi/epdf/10.1080/00222933.2014.946106?needAccess=true,2015,male and female,
"Hylaeus oromialis Dathe, 2014",NA,https://contributions-to-entomology.arphahub.com/articles.php?id=102655,2015,"Found the reference, but it is unclear just how many were collected. There are numbers in front of each of the sexes. Possibly 60 including Ethiopia and Burundi specimens? ",
"Pseudaugochlora crawfordi (Vachal, 1904)",7,https://www.researchgate.net/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician,2012,"Page 235, Theodore Cockerell 1 female. Biodiversity Heritage Library",
"Lasioglossum marshalli (Cockerell, 1937)",NA,NA,NA,"Could now be Evylaeus marshalli (Cockerell, 1937) (Zimbabwe), but cant find any descriptions. ",
"Hoplitis coreensis Müller and Mauss, 2016",1,https://treatment.plazi.org/id/3526F1394833C517FF2F0D406D6DF497/7,2016,,
"Nomada elsei Schwarz and Smit, 2018",NA,NA,NA,"I think the descriptio might be in here but I cant aces the reference as it is a book.SMIT J. (2018): Identification key to the European species of the bee genus Nomada SCOPOLI 1770 (Hymenoptera: Apidae), including 23 new species. — Entomofauna, Monographie 3: 1-253.",
"Colletes guadalajarensis Metz, 1910",NA,NA,NA,Can not find,
"Euryglossa catanii Rayment, 1949",1,https://www.biodiversitylibrary.org/page/40966269#page/284/mode/1up,1949,Page 271,
"Megachile diasi Raw, 2006",18,https://treatment.plazi.org/GgServer/html/242A87BD020CD133FEBDFA0D75A7FA3E,2006,All female,
"Megachile nigeriensis Cockerell, 1937",NA,NA,NA,Can't find seems to be from Nigeria,
"Lasioglossum pavo Sakagami, 1989",4,https://www.jstor.org/stable/25085126?casa_token=OPAPRs80aW0AAAAA%3ANBvdk_QzY3IHk59s0At7m6uw6Y_hcRh18JNlKx-wXtjIy79MNFp6h7ZD8aX6S-PdSzonSdLr0StaN4MaaXGtO8vkCipoPb0iR-bLwUNywZPJPwSMZdA,1989,Page 505,
"Centris plumbea Moure, 2002",2,https://www.scielo.br/j/rbent/a/Cj9KzDcCpSCVbZyddRtbr4S/?lang=pt,2002,"Hollotype female, allotype male page 260 of pdf",
"Hylaeus rubrifacialis (Strand, 1912)",NA,NA,NA,Cannot find,
"Lasioglossum callorhynchium Engel, 2018",NA,NA,NA,"Potentially the description is in this refernce but I cant access. Engel, M.S., 2018. Replacement names for sweat bees of the genus Lasioglossum (Hymenoptera: Halictidae).",
"Megachile tapytensis Mitchell, 1928",NA,https://www.jstor.org/stable/25077245?casa_token=ZxeGs68THIYAAAAA%3AJ3WnMDJCvYn5FBGRUXHkyI-6ae2iG95Ru9nZwHc0N5ss0IJDn2KZYwaR8NEbG-8J5yiYUPPjWUWKVEXlkmmQudn698KzCg9Hy5IA_O2ml72eM4QT0xo,NA,Can only find one mention in this paper page 248. mentions 1 male paratype. ,
"Halictus centaureae Ebmer, 1985",NA,,NA,"This I belive is the refernce but it is under embargo until 2050.. Ebmer A.W. 1985. Neue westpaläarktische Halictidae V. (Hymenoptera, Apoidea), sowie Festlegung von Lectotypen von Morawitz beschriebener, bisher ungeklärter Halictus-Arten. Linzer biol. Beitrage, 17/1: 197-221.",
"Hylaeus_sensu_lato niveicollis (Friese, 1924)",NA,https://doi.org/10.1002/mmnz.19720480202,NA,,
"Alloscirtetica eophila (Cockerell, 1918)",NA,https://www.jstor.org/stable/25076985?casa_token=3KwVmmGQ0j4AAAAA%3AdbNMLqnyq9d6ceTJ0Cic5iks0j4_mtmyD8loDw4nUoEtokvnQ95lUQrFGAl9RnVIp9yKvPmWqmAguVuMa1TpF8VBkZM8LIRnK23OetFutspcOL2kyqCy&seq=14,NA, unclear whether this species has had its name changed to Tetralonia eophila?,
"Megachile bisinua Vachal, 1908",1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.researchgate.net/profile/Claus-Rasmussen/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician/links/55014c1c0cf2aee14b590f74/Joseph-Vachal-1838-1911-French-entomologist-and-politician.pdf,2012,Only mention is in this paper of one female. Cannot find original descirption chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.researchgate.net/profile/Anthony-Raw/publication/263543744_New_combinations_and_synonymies_of_leafcutter_and_mason_bees_of_the_Americas_Megachile_Hymenoptera_Megachilidae/links/0c96053beb7447e801000000/New-combinations-and-synonymies-of-leafcutter-and-mason-bees-of-the-Americas-Megachile-Hymenoptera-Megachilidae.pdf,
Chelostoma comosum,36,https://www.researchgate.net/publication/259592436_New_European_bee_species_of_the_tribe_Osmiini_Hymenoptera_Apoidea_Megachilidae,2012,,
Euglossa adiastola,16,https://www.researchgate.net/publication/232922343_Two_new_species_of_Euglossa_from_South_America_with_notes_on_their_taxonomic_affinities_Hymenoptera_Apidae,2012,I think this is 16 based on the ecsription in the paper,
"Nomada obscurifrons Schwarz and Smit, 2018",2,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.zobodat.at/pdf/ENT_0039_0881-0908.pdf,2018,,
"Megachile rotundiceps Smith, 1857",1,https://www.biodiversitylibrary.org/page/8580113#page/56/mode/1up,1858,page 47,
"Amegilla hainanensis Wu, 2000",NA,NA,NA,"Wu, Y. (2000): Fauna Sinica Insecta Vol. 20. Hymenoptera. Melittidae, Apidae (in Chinese, English summary). – Science Press, Beijing, 442pp, 10 pls. But can't seem to get a copy",
"Austronomia argentifrons (Smith, 1862)",NA,NA,NA,Can't find anything,
"Doeringiella indecissa Holmberg, 1886",27,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://ia801407.us.archive.org/13/items/biostor-40437/biostor-40437.pdf,1989,Page 607 at the bottom of description I belive it tallies the number of individuals the description is based off. ,
"Macronomia quartinae (Gribodo, 1884)",3,https://www.biodiversitylibrary.org/page/29845980#page/358/mode/1up,1884,"Formerly Megachile quartinae, I think. Page 352",
"Lasioglossum rufoaeneum (Friese, 1925)",NA,https://sci-hub.se/10.11646/zootaxa.1833.1.1,NA,Only reference found page 93 ,
Augochlorella kelliae,2,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://pdf.sciencedirectassets.com/312949/1-s2.0-S0085562619X00023/1-s2.0-S0085562618301390/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEPn%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIHyUc0ujDea5iSD%2Fk%2FYriAXCiTa68iGmeN4wZIgkhnBsAiAYNgbv9nnbHB8Yt79O1T10nPx7TVH6sIQWwllxhUfE%2Byq7BQiC%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMDsS6YzA8XhjocV5PKo8Fnqry10i0sp4y88MyP%2FTRtq0EaztVaJ0GoN35fHoObe%2BuCXnAwet4AHFWkFY9DdW8p8GMqjETbDkRvnGOsP2J7uYw%2BbkN1CPk3fyXtPyiNsJ1KpItqlwbA2wqAax8ktd1Al7fPl6ZpfqW4AOTxEAhYPE0gdpEH6hVxftObd1kbzgK4Oz1YBUvkT7853Ts7haeuG9VAzKuslDw3kvh2FN0lPkqJds7MHkRAE%2BbRFkK%2BB%2FlNO0Km8r62mBJvO6KXI63V6%2BZCYTz3PchU1yxL%2BnaPzIxrdZIuCB8xL86vBGmGd16vfHPEWNB%2B%2FOm%2Bl1Ja7%2BM8uDxx4AN1UHBimxd%2Bnt7nSGFRdPHYxBaDHwmdZUP8yxURsacsj1ZLsqJdgxsP1K0ovUd9iarCWCM%2B9hHtKm063f0NWh09aUhFkq5saThiNAjzlSe3XdQLfDvXr3T725hSWW66XSVvKhwOjtEAmGA5OJIS4iwlLjHG5XHrAP4my4GN%2BNrNChr9WfXou%2BZ6YhFIVSm8lrzFtXQn8LihnR83FbUurvyrU3hnFrkmDPAtzYyzwRPg%2BXKjv%2BQ%2FSOdCGvDGl3tbMoN2bppsCOwDMcOe4sEW9S8Z%2F%2B%2F5frER8Rn8ItgVa%2BCApPoQBDUclt%2Fp7QOVhNF%2F34BZq2bizgHT7BQVEE%2FS8p%2BMy%2FrnZya%2FZqkhnTYXTZxjWZpTjQpeY6sKfnvuGsCBmkujclAzGl8YrcQPESpPynAkY7vmIAR6WqPl5wQjb8S2xeR1CIetglUQUWfLc%2Fvm%2FDy6WYFi7x0bTQDdIDxqsbNoibry3UlYxa81bjXJqzE6%2BkufaxxkFUjv9SMtxhhYyrWvuCkDMzc%2F8QJVVh8RHh03S2rLQPpHMYLUTCkq%2FSyBjqyAQG9SZ0YdohqvuHhNu9MeuazbhJyIZQDYBvGCMK6xPMmFVWRQpEbwRvrKsifYIFxcBnijFi%2B8AToSXZfTFzOzkHW%2FArQorcheI1EHRnuI9%2Fn%2BF09ZQtrR6%2F5%2BQ8tne6tOZFhcHeVydddEzbxjuKNNLiI8%2Bo1%2BeCSa1cQK3z03l2FVmEexCVcivuc5gWJKVQCWJ38essmWAU4PnxLfrAS9Har8KjqHKJc8jAQOC0hSNbpJ8Q%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240603T014651Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY5PPOBB7K%2F20240603%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=01f111e37e4a089711e98fe781193d2eb85059c73a151aae0603d6e01c44d91a&hash=018f74aeb6b71fc5ba0666cc7dec01194f8d12af2684c32d35c748c8385a9deb&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0085562618301390&tid=spdf-9512345c-b51b-434f-bbce-78442cf9b6be&sid=66cc417b816af843179873021c7d3401abc7gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=05125e5906045f5c5e&rr=88dc03056881a7fc&cc=au,2019,Some notes in paper that another collection may contain a snother specimen but I couldn’t be sure. Page 95,
"Hylaeus suffusus (Cockerell, 1896)",NA,NA,NA,Can't find,
"Hoplitis abbreviata (Morawitz, 1875)",1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/http://www.atlashymenoptera.net/biblio/01500/Ungricht_et_al_2008_Osmiini_Catalogue.pdf,2008,"Perhaps synonym Osmia abbreviata? Page 114 only mention, not full description",
"Gaesischia interrupta Urban, 1989",NA,NA,NA, Just don’t have access,
"Braunsapis narendrani Jobiraj, 2004",NA,NA,NA,Can't work out whether this species has now been included in the B. aurantipes narendrani or if tehya re still seprate. Page 4 there is a line in the table footnote. file://ad.uws.edu.au/dfshare/HomesBLK$/30049879/Downloads/3801.1.pdf,
"Austronomia schroederi (Strand, 1914)",NA,NA,NA,"I think its hould be in this STRAND, E. 1914. Nachtrag zu meiner im Archiv für
Naturgeschichte 1913. A. 10, 121–144 veröffentlichten
Arbeit über afrikanische Nomia-Arten. Archiv für
Naturgeschichte (A) 80: 112–116  but cant seem to find this paper",
"Centris euryctenoda Vivallo, 2022",NA,NA,NA,"This is the refernce, but the whole book hasn’t been uploaded and the page we want is 162 https://www.researchgate.net/publication/363070858_The_oil-collecting_bees_of_Centris_Melanocentris_Hymenoptera_Apidae",
Lasioglossum ochreohirtum,27,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://zin.ru/journals/zsr/content/2006/zr_2006_15_1_Pesenko.pdf,2006,I believe all the specimens combined with the addition of a new male = 27. ,
"Nomada obscuriceps Schwarz and Levchenko, 2017",5,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.zin.ru/Societies/res/rus/periodicals/horae/RES.88.2_Hymenoptera_of_Russia.pdf,2017,,
"Anthidiellum cyrenaicum (Gribodo, 1924)",1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/http://zoologie.umons.ac.be/hymenoptera/biblio/01500/Schwarz_&_Gusenleitner_2003-various-ENT_0024_0237-0280.pdf,2003,I think this is one. Some description  in another language. ,
"Augochloropsis cytherea (Smith, 1853)",NA,NA,NA,"I found you had the Smith 1853 keys, but I couldn’t find this species in them. ",
"Nomada hammarstroemi Morawitz, 1888",7,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.researchgate.net/profile/Maxim-Proshchalykin/publication/319006526_The_genus_Nomada_Hymenoptera_Apidae_in_Siberia/links/598aa8a9aca272435852421f/The-genus-Nomada-Hymenoptera-Apidae-in-Siberia.pdf,2017,Fairly sure this means that there are 7 in total.,
"Lasioglossum travassosi (Moure, 1940)",NA,NA,NA,Cant find,
"Thrinchostoma bryanti Meade-Waldo, 1914",1, https://doi.org/10.1080/00222931408693601,1914,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.tandfonline.com/doi/pdf/10.1080/00222931408693601?casa_token=9yEDy10orxwAAAAA:QPpHI4ZNIqskKKV2-RCQI_ja9v-bSBytUbrgwr879qf4QlJoIWBK_3kHhnTTwIOoTaie5tmWLJPE,
"Heriades fulvohispida Yasumatsu and Hirashima, 1952",3,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/9535/1/18(1-2)_p38-40.pdf,1952,The original article has the name Heriades fulvohispidus bit not hispida. Might need to check this. ,
"Cyphanthidium sheppardi (Mavromoustakis, 1937)",2,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.biorxiv.org/content/10.1101/2022.12.17.520875v1.full.pdf,2022,No descirption just the location and speciemns,
"Tetrapedia nigropilosa Moure, 1999",1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.scielo.br/j/rbzool/a/wxHjDqZhcrBxRr49zSc5Bcz/?format=pdf&lang=pt,1999,In another language but I belive there is only one male holotype. ,
"Andrena kumbhuensis Tadauchi and Matsumura, 2007",64,https://www.researchgate.net/publication/31903489_The_Genus_Andrena_Collected_from_Nepal_Hymenoptera_Andrenidae_with_Redescriptions_of_Some_Types_of_Andrena_Described_from_North_India/link/603f51e292851c077f12e480/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoicHVibGljYXRpb24iLCJwcmV2aW91c1BhZ2UiOiJfZGlyZWN0In19,2007,,
"Ptiloglossa immixta Moure, 1945",1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://openprairie.sdstate.edu/cgi/viewcontent.cgi?article=2893&context=etd,2015,1 holotype and 1 unsighted at a different musuem therfeore I have said that there was one only. ,
"Coelioxys joergensenianus Holmberg, 1916",NA,NA,NA,Can't find. ,
"Nomada kusdasi Schwarz, 1981",NA,NA,NA,Can't find. ,
"Neocorynura spizion (Vachal, 1904)",1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.researchgate.net/profile/Claus-Rasmussen/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician/links/55014c1c0cf2aee14b590f74/Joseph-Vachal-1838-1911-French-entomologist-and-politician.pdf,2005,This paper mentions the specimen as well. No descirption though https://www.proquest.com/docview/304990699?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses,
"Ammobates handlirschii Friese, 1895",NA,NA,NA,"I belive this is the reference, but I couldn’t get access to the paper Friese, h. (1895) Die Bienen europa’s (Apidae europaeae) nach ihren Gattungen, Arten und Varietäten auf vergleichend morphologisch-biologischer Grundlage. theil I: Schmarotzerbienen. r. Friedländer, Berlin, 218 pp. The info is on page 120.",
"Exomalopsis amoena Timberlake, 1980",NA,NA,NA,"This is the reference, I think, but I cant get access is under embargo until 2050. Review of North American Exomalopsis (Hymenoptera, Anthophoridae) Parts I-IV",
"Halictus surabadensis Ebmer, 1975",NA,NA,NA,I think this is the reference but I don’t have access https://onlinelibrary.wiley.com/doi/epdf/10.1002/mmnz.19720480202,
"Dufourea gkuruensis (Warncke, 1979)",1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://d1wqtxts1xzle7.cloudfront.net/51810854/The_nominal_taxa_described_by_K._Warncke20170215-24913-rkbvnz-libre.pdf?1487190718=&response-content-disposition=inline%3B+filename%3DThe_nominal_taxa_described_by_K_Warncke.pdf&Expires=1718072802&Signature=AfMGQILMhuYJweh5n8uW58zGGEsZjz54Il5cj4Ni7k~ZwNu~M-6msfYBfTF62GNjR866a~4PWxFm627BNOrsXV8DsbGWXz9J37CGutMzF3wKqjrZQQTOaVhF50mSrgU87llkb6bbln77cA2eoIty5RjPFvFMTnXCCOm9uyDV0NZ-CQ9IsX--W3veaKS6eyqF403NyHG7Mao2rpQif1xuPxmveu06r15MX3NsSkxINsckeaKzQygmH003XnCK7mInywPod8cn9csV0EnWZg0aT0Rzv8RCNzYFqOsMAUGF62MSQenepE0FEG3L~Fr-jCJQdERR7Gy9sMyZnUGuiqk4Dg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,1994,"Doesn’t have full species description. Blank, S.M. and Kraus, M., 1994. The nominal taxa described by K. Warncke and their types (Insecta, Hymenoptera, Apoidea).",
"Andrena acutilabris Morawitz, 1876",14,https://www.researchgate.net/publication/363284480_The_bees_of_the_genus_Andrena_Fabricius_1775_Hymenoptera_Andrenidae_described_by_Ferdinand_Morawitz_from_the_collection_of_Aleksey_Fedtschenko,2022,https://www.researchgate.net/publication/363284480_The_bees_of_the_genus_Andrena_Fabricius_1775_Hymenoptera_Andrenidae_described_by_Ferdinand_Morawitz_from_the_collection_of_Aleksey_Fedtschenko Page 109-110,
"Lasioglossum chinense (Dalla Torre, 1896)",NA,NA,NA,Can't find,
"Lasioglossum resplendens (Morawitz, 1890)",2,https://sci-hub.se/10.11646/ZOOTAXA.4408.1.1,2018,Could this formerly have been Halictus resplendens? Page 41  https://sci-hub.se/10.11646/ZOOTAXA.4408.1.1,
"Megachile utra Vachal, 1903",1,https://www.biodiversitylibrary.org/page/8248246#page/1/mode/1up,1903,page 370-371  https://www.biodiversitylibrary.org/page/8248246#page/1/mode/1up and in this reference  chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.researchgate.net/profile/Claus-Rasmussen/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician/links/55014c1c0cf2aee14b590f74/Joseph-Vachal-1838-1911-French-entomologist-and-politician.pdf,
"Melissoptila catamarcensis Urban, 1998",1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.scielo.br/j/rbzool/a/WrxFHfxHWxTBgHY3HM7RJpS/?format=pdf&lang=pt,1998,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.scielo.br/j/rbzool/a/WrxFHfxHWxTBgHY3HM7RJpS/?format=pdf&lang=pt page 15,
"Icteranthidium aurantiacum Pasteels, 1969",2,https://sci-hub.se/https://doi.org/10.1002/mmnz.19690450205,1969,,
"Hylaeus pumilus Dathe, 2015",3,https://www.researchgate.net/publication/347918546_Studies_on_the_systematics_and_taxonomy_of_the_genus_Hylaeus_F_9_Supplement_to_the_taxonomy_and_distribution_of_Afrotropical_Hylaeus_F_species_Hymenoptera_Anthophila_Colletidae/link/639f5c0c024dc52c8a2e557d/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn19,2015,,
"Hylaeus procurvus (Rayment, 1939)",NA,NA,NA,"Cant find the text but belive this is the reference Rayment, T. 1939. Bees from the high lands of New South Wales and Victoria. The Australian Zoologist 9: 263-294 [Date published 31/12/1939] [264].",
"Colletes hawkingi Ferrari, 2019",2,https://zenodo.org/records/10446763,2019,"Found a shortened or early version of paper, can't seem to find the actual paper.",
"Centris ignicans Vivallo, 2022",NA,file://ad.uws.edu.au/dfshare/HomesBLK$/30049879/Downloads/Vivallo2022Theoil-collectingbeesofCentrisMelanocentrissampleversion1%20(1).pdf,NA,"I can't access thw holw book, but the description is in here https://www.researchgate.net/publication/363070858_The_oil-collecting_bees_of_Centris_Melanocentris_Hymenoptera_Apidae/link/6342fa419cb4fe44f315f119/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn19",
"Ceratina aetana Shiokawa, 2006",NA,https://www.cabidigitallibrary.org/doi/full/10.5555/20073077480,NA,Can't access the paper but this looks to be the reference  https://www.cabidigitallibrary.org/doi/full/10.5555/20073077480,
"Dufourea zacatecas Bohart, 1980",3,"https://books.google.com.au/books?hl=en&lr=&id=Do0oAAAAYAAJ&oi=fnd&pg=PP2&dq=Dufourea+zacatecas+Bohart,+1980&ots=_9OwDCbIh5&sig=m09Szoss7TBb15SvKUij0kr0NQY#v=onepage&q=Dufourea%20zacatecas%20Bohart%2C%201980&f=false",1980,,
